,release_date,title,downloads_x,downloads_y,downloads,show,color
283,2015-06-01,Episode #1 - Introduction,3160.0,274.0,3434.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
282,2015-06-07,TBP02 - Holding Up the Sky,2546.0,193.0,2739.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
281,2015-06-15,TBP03 - Bridging the Gender Gap,2391.0,171.0,2562.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
280,2015-06-20,TBP04 - Change Jar 2.0,2510.0,163.0,2673.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
279,2015-06-28,TBP05 - The World's Strongest,2387.0,160.0,2547.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
278,2015-07-02,TBP06 - Aboard the Pequod,2301.0,162.0,2463.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
277,2015-07-06,TBP07 - Under the Iron Veil,2552.0,171.0,2723.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
276,2015-07-09,TBP08 - Bitcoin For The Bottom Billion,690.0,160.0,850.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
275,2015-07-19,TBP09 - The Curious Case of Remittance,613.0,160.0,773.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
274,2015-07-24,TBP10 - Bottoms Up,530.0,154.0,684.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
273,2015-08-03,TBP11 - The End of Money,690.0,155.0,845.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
272,2015-08-08,TBP12 - Boring Economics,754.0,163.0,917.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
271,2015-08-15,TBP13 - The Greatest Truths,501.0,149.0,650.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
270,2015-08-23,TBP14 - Sex and the Single Bitcoin,660.0,156.0,816.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
269,2015-08-30,TBP15 - Ants Marching,489.0,148.0,637.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
268,2015-09-06,TBP16 - The Dual Revolution,531.0,150.0,681.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
267,2015-09-13,TBP17 - Oiling the Squeaky Wheel,568.0,145.0,713.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
266,2015-09-20,TBP18 - From Cradle to Grave,472.0,149.0,621.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
265,2015-09-27,TBP19 - Branding the Disruptive,503.0,154.0,657.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
264,2015-10-01,TBP20 - Bottoms Up 2,477.0,197.0,674.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
263,2015-10-10,TBP21 - Call For Papers,467.0,149.0,616.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
262,2015-10-15,TBP22 - Vote With Your Feet,421.0,162.0,583.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
261,2015-10-25,"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World",469.0,151.0,620.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
260,2015-11-01,TBP24 - Betting On Bitcoin,781.0,182.0,963.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
259,2015-11-08,TBP25 - The $199 Incentive,503.0,152.0,655.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
258,2015-11-15,TBP26 - Change Jar 3.0,582.0,150.0,732.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
257,2015-11-22,TBP27 - London Calling,646.0,151.0,797.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
256,2015-11-29,TBP28 - Modern Day Gold Rush,670.0,152.0,822.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
255,2015-12-06,TBP29 - Take the Power Back,725.0,150.0,875.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
254,2015-12-13,TBP30 - Bottoms Up 3,569.0,149.0,718.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
253,2015-12-20,TBP31 - Off the Transparency Chain,567.0,159.0,726.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
252,2015-12-27,TBP32 - The Marketing Blueprint,829.0,154.0,983.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
251,2016-01-02,TBP33 - Canadian Bitcoin Scenario,755.0,156.0,911.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
250,2016-01-09,"TBP34 - 20,000 Lines Under the Code",859.0,173.0,1032.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
249,2016-01-16,TBP35 - Disruption or Disconnect,1134.0,166.0,1300.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
248,2016-01-23,TBP36 - Bakesales for Bombers,601.0,156.0,757.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
247,2016-01-30,TBP37 - Bitcoining with The BasedGod,776.0,196.0,972.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
246,2016-02-01,TBP38 - Assumption of Trust,692.0,161.0,853.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
245,2016-02-07,TBP39 - Running the Gamut,923.0,155.0,1078.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
244,2016-02-13,TBP40 - A Conservative Trillion,1331.0,163.0,1494.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
243,2016-02-18,TBP41 - Making Inroads With Merchants,692.0,161.0,853.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
242,2016-02-21,TBP42 - True Micropayments,932.0,156.0,1088.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
241,2016-02-27,TBP43 - The Mystery of Capital,813.0,154.0,967.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
240,2016-03-03,TBP44 - Who Is Bitcoin Girl?,720.0,164.0,884.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
239,2016-03-06,TBP45 - Bitcoin Evangelism,798.0,173.0,971.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
238,2016-03-13,TBP46 - The Fundamental Conflict,1009.0,161.0,1170.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
237,2016-03-20,TBP47 - Bottoms Up 4,691.0,153.0,844.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
236,2016-03-27,"TBP48 - Inertia, My Friend!",754.0,151.0,905.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
235,2016-03-31,TBP49 - Welterweight Gold,967.0,157.0,1124.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
234,2016-04-04,TBP50 - Not Giving a Good Got Damn,892.0,150.0,1042.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
233,2016-04-10,TBP51 - Such Wow,721.0,154.0,875.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
232,2016-04-14,TBP52 - Potential of the SDK,743.0,149.0,892.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
231,2016-04-17,TBP53 - Tough Math,1338.0,161.0,1499.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
230,2016-04-21,TBP54 - Revisiting the Divine Child,732.0,152.0,884.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
229,2016-04-24,TBP55 - The Cryptocurrency 2.0 Project,1237.0,156.0,1393.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
228,2016-05-01,TBP56 - Exploring European Fintech,928.0,148.0,1076.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
227,2016-05-03,TBP57 - Future of a Shared Economy,2071.0,180.0,2251.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
226,2016-05-08,TBP58 - The Art of the Deal,1898.0,199.0,2097.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
225,2016-05-16,TBP59 - Incredible India,1060.0,153.0,1213.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
224,2016-05-23,TBP60 - Release the Kraken,2423.0,182.0,2605.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
223,2016-05-27,TBP61 - Escaping War Zones,940.0,144.0,1084.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
222,2016-05-30,TBP62 - Still Holding Up the Sky,1185.0,143.0,1328.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
221,2016-06-06,TBP63 - Change Jar 4.0,1257.0,142.0,1399.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
220,2016-06-09,TBP64 - Shorting the Bull Rally,1353.0,147.0,1500.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
219,2016-06-12,TBP65 - Exosphere Academy,1331.0,146.0,1477.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
218,2016-06-18,TBP66 - Cultures of Innovation,1382.0,147.0,1529.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
217,2016-06-22,TBP67 - Follow the LeadTuur,1582.0,143.0,1725.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
216,2016-06-26,TBP68 - Deconstructing theDAO Attack,2091.0,142.0,2233.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
215,2016-06-30,TBP69 - The Ubitquity Platform,1284.0,156.0,1440.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
214,2016-07-03,TBP70 - Whitehat,1542.0,163.0,1705.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
213,2016-07-10,TBP71 - Bitcoin Wealth Alliance,2037.0,171.0,2208.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
212,2016-07-11,TBP72 - The Broader Economy,3687.0,248.0,3935.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
211,2016-07-17,TBP73 - Navigating the New Marketplace,1602.0,142.0,1744.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
210,2016-07-20,TBP74 - Cryptocurrency Fellowship,1354.0,143.0,1497.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
209,2016-07-23,TBP75 - Attention Economy,1814.0,143.0,1957.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
208,2016-07-31,TBP76 - Skynet,2880.0,175.0,3055.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
207,2016-08-01,TBP77 - Collective Governance,2694.0,319.0,3013.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
206,2016-08-06,TBP78 - The Price of Privatization,1794.0,135.0,1929.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
205,2016-08-13,TBP79 - Infrastructure for a Seven Billion World,2528.0,188.0,2716.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
204,2016-08-13,TBP80 - A Means to an End,1428.0,141.0,1569.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
203,2016-08-21,TBP81 - Redefining Trust,1565.0,140.0,1705.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
202,2016-08-28,TBP82 - Unifying Blockchain Tech,1765.0,140.0,1905.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
201,2016-08-29,TBP83 - Lightning Network Deep Dive,1892.0,156.0,2048.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
200,2016-09-04,TBP84 - Arcade City Glorification,1381.0,136.0,1517.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
199,2016-09-11,TBP85 - Crossing the Chasm,1232.0,151.0,1383.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
198,2016-09-12,TBP86 - Exploring Macroeconomics,1398.0,140.0,1538.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
197,2016-09-18,TBP87 - The World is YOURS,1757.0,144.0,1901.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
196,2016-09-19,TBP88 - Bitcoin Bike-Shed,1339.0,145.0,1484.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
195,2016-09-25,TBP89 - The IoT Frontier,1396.0,144.0,1540.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
194,2016-09-27,TBP90 - Silicon Valley in a Box,2273.0,144.0,2417.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
193,2016-10-02,TBP91 - Exosphere Academy II,1518.0,142.0,1660.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
192,2016-10-09,TBP92 - Myceliated,1753.0,142.0,1895.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
191,2016-10-15,TBP93 - Cryptographic Verification,3673.0,175.0,3848.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
190,2016-10-22,TBP94 - Reputation Tokens,2402.0,183.0,2585.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
189,2016-10-27,TBP95 - The JOBS Act,1566.0,152.0,1718.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
187,2016-10-29,BC1: Empowering Creativity with Technology,1334.0,147.0,1481.0,BlockChannel,"rgb(101,174,223)"
188,2016-10-29,TBP96 - A Fireside Chat,1611.0,146.0,1757.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
186,2016-11-06,TBP97 - Hype or Hope,2648.0,180.0,2828.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
185,2016-11-09,TBP98 - Ubitquity Part Duex,1262.0,140.0,1402.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
184,2016-11-11,"BC2: Making Bitcoin Great, with Javascript & Brave",1300.0,142.0,1442.0,BlockChannel,"rgb(101,174,223)"
183,2016-11-12,TBP99 - Blockchain Supercomputer,2349.0,146.0,2495.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
182,2016-11-19,TBP100 - Thai Gone Wild,2887.0,155.0,3042.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
181,2016-11-27,TBP101 - World's First Supernode Infrastructure,1406.0,146.0,1552.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
180,2016-11-30,TBP102 - Building Bridges Initiative,2214.0,139.0,2353.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
179,2016-12-01,"BC3: Zero Knowledge, the Future of Privacy",2036.0,148.0,2184.0,BlockChannel,"rgb(101,174,223)"
178,2016-12-04,TBP103 - A Jack of All Trades,1660.0,153.0,1813.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
177,2016-12-11,TBP104 - Currency to a Wider Public,2553.0,145.0,2698.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
176,2016-12-18,TBP105 - Music Industry 2.0,1966.0,159.0,2125.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
175,2016-12-22,On-Ramping with Dee: Episode #1,2031.0,164.0,2195.0,On-Ramping with Dee,"rgb(130,170,52)"
174,2016-12-25,TBP106 - A Very Bitcoin Christmas,2064.0,154.0,2218.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
173,2016-12-31,"TBP107 - Like Father, Like Son",1650.0,146.0,1796.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
172,2017-01-02,"BC4: Predicting the Future, with Augur",1477.0,151.0,1628.0,BlockChannel,"rgb(101,174,223)"
171,2017-01-03,On-Ramping with Dee: Episode #2,1908.0,159.0,2067.0,On-Ramping with Dee,"rgb(130,170,52)"
170,2017-01-04,TBP108 - Ether Camp,1541.0,145.0,1686.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
169,2017-01-07,Episode #3: On-Ramping with Dee,1365.0,144.0,1509.0,On-Ramping with Dee,"rgb(130,170,52)"
168,2017-01-08,TBP109 - The Human Influence,1977.0,138.0,2115.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
167,2017-01-11,BC5: Taking One for the Team,1471.0,127.0,1598.0,BlockChannel,"rgb(101,174,223)"
166,2017-01-15,TBP110 - The Technological Revolution,2438.0,146.0,2584.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
165,2017-01-22,TBP111 - Disrupting Global Commerce,2241.0,134.0,2375.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
164,2017-01-25,Episode #4: On-Ramping with Dee,2180.0,147.0,2327.0,On-Ramping with Dee,"rgb(130,170,52)"
163,2017-01-26,"BC6: Gnosis, and the Power of the Crowd",1600.0,137.0,1737.0,BlockChannel,"rgb(101,174,223)"
162,2017-01-28,TBP112 - The Broader Economy II,3599.0,202.0,3801.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
161,2017-02-02,"BC7: Meet Your Maker, Ethereum",1698.0,137.0,1835.0,BlockChannel,"rgb(101,174,223)"
160,2017-02-02,"BC8: Hit or Stay, a Bet on 21.co",1922.0,134.0,2056.0,BlockChannel,"rgb(101,174,223)"
159,2017-02-03,Episode #5: On-Ramping with Dee,2269.0,137.0,2406.0,On-Ramping with Dee,"rgb(130,170,52)"
158,2017-02-05,TBP113 - Innovators' Lab,2187.0,137.0,2324.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
157,2017-02-08,BC9: Getting Gamers on Ethereum with FirstBlood,1699.0,138.0,1837.0,BlockChannel,"rgb(101,174,223)"
156,2017-02-12,TBP114 - Life After Trezor,2742.0,159.0,2901.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
155,2017-02-17,BC10: A Bitcoin Venture Outside the Great Wall,1477.0,153.0,1630.0,BlockChannel,"rgb(101,174,223)"
154,2017-02-18,TBP115 - This Week in Ethereum,2146.0,151.0,2297.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
153,2017-02-20,BC11: Bridging Ethereum and Media with Jaak.io,1393.0,127.0,1520.0,BlockChannel,"rgb(101,174,223)"
152,2017-02-20,Episode #6: On-Ramping with Dee,1815.0,133.0,1948.0,On-Ramping with Dee,"rgb(130,170,52)"
151,2017-02-22,"BC12: In Ethereum, WeTrust",2608.0,137.0,2745.0,BlockChannel,"rgb(101,174,223)"
150,2017-02-26,TBP116 - Building the Iron Man Suit,2513.0,143.0,2656.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
149,2017-03-05,TBP117 - Venturing Into the Web3,2284.0,156.0,2440.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
148,2017-03-07,"BC13: Decentralized Web Browsing, with Blockstack",2029.0,146.0,2175.0,BlockChannel,"rgb(101,174,223)"
147,2017-03-10,Episode #7: On-Ramping with Dee,1637.0,126.0,1763.0,On-Ramping with Dee,"rgb(130,170,52)"
146,2017-03-12,TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto,3122.0,166.0,3288.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
145,2017-03-18,"BC14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir",2131.0,141.0,2272.0,BlockChannel,"rgb(101,174,223)"
144,2017-03-20,TBP119 - Shorting the Bull Rally II,2183.0,126.0,2309.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
143,2017-03-21,"BC15: A Hedge on Ethereum, with Numerai",2772.0,182.0,2954.0,BlockChannel,"rgb(101,174,223)"
142,2017-03-25,TBP120 - The Token Protocol,3679.0,171.0,3850.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
141,2017-04-02,TBP121 - Liberty Life Trails,2562.0,137.0,2699.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
140,2017-04-03,"BC16: Partly Cloudy, with a Chance of Ethereum",2888.0,143.0,3031.0,BlockChannel,"rgb(101,174,223)"
139,2017-04-06,TBP122 - Ubitquity Part III,1867.0,128.0,1995.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
138,2017-04-09,TBP123 - AsicBoost Catch 22,2397.0,140.0,2537.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
137,2017-04-12,"BC17: Putting the Fun in Coin, with CoinFund",1922.0,141.0,2063.0,BlockChannel,"rgb(101,174,223)"
136,2017-04-14,BC18: Where You At? What’s Your Status.im?,1953.0,140.0,2093.0,BlockChannel,"rgb(101,174,223)"
135,2017-04-16,TBP124 - Affording the High Risk,2986.0,147.0,3133.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
134,2017-04-20,"BC19: Virtual Land in the Clouds, with Urbit",2192.0,136.0,2328.0,BlockChannel,"rgb(101,174,223)"
133,2017-04-21,Episode #8: On-Ramping with Dee,1803.0,152.0,1955.0,On-Ramping with Dee,"rgb(130,170,52)"
132,2017-04-22,TBP125 - False Narratives and Short Memories,2706.0,143.0,2849.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
131,2017-04-28,"BC20: Building Across the Globe, with ConsenSys",3451.0,272.0,3723.0,BlockChannel,"rgb(101,174,223)"
130,2017-05-01,TBP126 - Litecoin's SegWit Activation,7840.0,217.0,8057.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
129,2017-05-05,Episode #9: On-Ramping with Dee,2697.0,143.0,2840.0,On-Ramping with Dee,"rgb(130,170,52)"
128,2017-05-07,TBP127 - Marketing Discipline,4101.0,183.0,4284.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
127,2017-05-14,TBP128 - Family,3574.0,181.0,3755.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
126,2017-05-21,TBP129 - The Inherent Risks,3742.0,200.0,3942.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
125,2017-05-22,"BC21: Building Unstoppable Organizations, with Aragon",3574.0,160.0,3734.0,BlockChannel,"rgb(101,174,223)"
124,2017-05-27,Announcements with Dr. Petty: Mona.co,2523.0,169.0,2692.0,TBP Announcements,"rgba(0,0,0,0.65)"
123,2017-05-27,"BC22: Tackling the Real Estate Dinosaur, with REX",2619.0,197.0,2816.0,BlockChannel,"rgb(101,174,223)"
122,2017-05-28,TBP130 - Consensus Recap and Sphre,3106.0,158.0,3264.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
121,2017-05-28,Episode #10: On-Ramping with Dee,2330.0,162.0,2492.0,On-Ramping with Dee,"rgb(130,170,52)"
120,2017-05-29,Announcements with Dr. Petty: Patientory,3315.0,181.0,3496.0,TBP Announcements,"rgba(0,0,0,0.65)"
119,2017-06-03,TBP131 - Ending Corporate Dominance,6007.0,212.0,6219.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
118,2017-06-11,TBP132 - Dark Side of the Prism,4746.0,258.0,5004.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
117,2017-06-13,The Ether Review #67: Celebrating Erik Voorhees Week with Erik Voorhees!,3968.0,0.0,3968.0,The Ether Review,"rgba(236,159,76,1)"
284,2017-06-13,The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!,0.0,206.0,206.0,The Ether Review,"rgba(236,159,76,1)"
116,2017-06-16,TBP133 - ICO Woes with MyEtherWallet,5144.0,285.0,5429.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
115,2017-06-17,TBP134 - More Marketing Discipline,4819.0,209.0,5028.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
114,2017-06-20,"BC23: Unmasking the Future, with Metamask",4658.0,171.0,4829.0,BlockChannel,"rgb(101,174,223)"
113,2017-06-20,NABP #1: Sandra Malalah,3170.0,213.0,3383.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
112,2017-06-21,"BC24: Bringing Crypto to the World, with Prince EA",3808.0,204.0,4012.0,BlockChannel,"rgb(101,174,223)"
111,2017-06-22,Announcements with Dr. Petty: Impak Finance,3551.0,212.0,3763.0,TBP Announcements,"rgba(0,0,0,0.65)"
110,2017-06-24,TBP135 - Yanking Our Blockchain,5751.0,236.0,5987.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
109,2017-06-27,Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens,4595.0,208.0,4803.0,The Ether Review,"rgba(236,159,76,1)"
108,2017-07-01,NABP #2: Crypto Maak,4040.0,212.0,4252.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
107,2017-07-02,TBP136 - A New Type of Ownership,5011.0,225.0,5236.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
106,2017-07-04,Episode #11: On-Ramping with Dee,3491.0,226.0,3717.0,On-Ramping with Dee,"rgb(130,170,52)"
105,2017-07-06,NABP #3: Adam Meister,4430.0,251.0,4681.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
104,2017-07-09,TBP137 - Countdown to SegWit,7659.0,252.0,7911.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
103,2017-07-11,NABP #4: Benjamin Perrin,4793.0,270.0,5063.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
102,2017-07-12,"The Ether Review #68: Numerai, The Last Hedge Fund",3678.0,0.0,3678.0,The Ether Review,"rgba(236,159,76,1)"
285,2017-07-12,"The Ether Review #68 — Numerai, The Last Hedge Fund",0.0,248.0,248.0,The Ether Review,"rgba(236,159,76,1)"
101,2017-07-13,NABP #5: Ryan X Charles,4433.0,239.0,4672.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
