"date","year","month","day","total_downloads"
"2017-05-27",2017,"May",27,1014
"2017-05-28",2017,"May",28,226
"2017-05-29",2017,"May",29,153
"2017-05-30",2017,"May",30,110
"2017-05-31",2017,"May",31,71
"2017-06-01",2017,"June",01,48
"2017-06-02",2017,"June",02,36
"2017-06-03",2017,"June",03,22
"2017-06-04",2017,"June",04,21
"2017-06-05",2017,"June",05,33
"2017-06-06",2017,"June",06,30
"2017-06-07",2017,"June",07,25
"2017-06-08",2017,"June",08,21
"2017-06-09",2017,"June",09,15
"2017-06-10",2017,"June",10,19
"2017-06-11",2017,"June",11,10
"2017-06-12",2017,"June",12,21
"2017-06-13",2017,"June",13,20
"2017-06-14",2017,"June",14,23
"2017-06-15",2017,"June",15,14
"2017-06-16",2017,"June",16,16
"2017-06-17",2017,"June",17,20
"2017-06-18",2017,"June",18,14
"2017-06-19",2017,"June",19,14
"2017-06-20",2017,"June",20,11
"2017-06-21",2017,"June",21,8
"2017-06-22",2017,"June",22,4
"2017-06-23",2017,"June",23,6
"2017-06-24",2017,"June",24,5
