"date","year","month","day","total_downloads"
"2017-05-22",2017,"May",22,607
"2017-05-23",2017,"May",23,777
"2017-05-24",2017,"May",24,424
"2017-05-25",2017,"May",25,341
"2017-05-26",2017,"May",26,277
"2017-05-27",2017,"May",27,93
"2017-05-28",2017,"May",28,82
"2017-05-29",2017,"May",29,30
"2017-05-30",2017,"May",30,35
"2017-05-31",2017,"May",31,39
"2017-06-01",2017,"June",01,23
"2017-06-02",2017,"June",02,12
"2017-06-03",2017,"June",03,17
"2017-06-04",2017,"June",04,18
"2017-06-05",2017,"June",05,30
"2017-06-06",2017,"June",06,26
"2017-06-07",2017,"June",07,6
"2017-06-08",2017,"June",08,16
"2017-06-09",2017,"June",09,13
"2017-06-10",2017,"June",10,17
"2017-06-11",2017,"June",11,14
"2017-06-12",2017,"June",12,18
"2017-06-13",2017,"June",13,14
"2017-06-14",2017,"June",14,17
"2017-06-15",2017,"June",15,9
"2017-06-16",2017,"June",16,10
"2017-06-17",2017,"June",17,18
"2017-06-18",2017,"June",18,12
"2017-06-19",2017,"June",19,6
"2017-06-20",2017,"June",20,12
"2017-06-21",2017,"June",21,7
"2017-06-22",2017,"June",22,6
"2017-06-23",2017,"June",23,3
"2017-06-24",2017,"June",24,5
