"date","year","month","day","total_downloads"
"2017-05-07",2017,"May",07,816
"2017-05-08",2017,"May",08,632
"2017-05-09",2017,"May",09,404
"2017-05-10",2017,"May",10,286
"2017-05-11",2017,"May",11,266
"2017-05-12",2017,"May",12,289
"2017-05-13",2017,"May",13,172
"2017-05-14",2017,"May",14,90
"2017-05-15",2017,"May",15,47
"2017-05-16",2017,"May",16,30
"2017-05-17",2017,"May",17,44
"2017-05-18",2017,"May",18,93
"2017-05-19",2017,"May",19,34
"2017-05-20",2017,"May",20,42
"2017-05-21",2017,"May",21,35
"2017-05-22",2017,"May",22,28
"2017-05-23",2017,"May",23,17
"2017-05-24",2017,"May",24,23
"2017-05-25",2017,"May",25,50
"2017-05-26",2017,"May",26,36
"2017-05-27",2017,"May",27,13
"2017-05-28",2017,"May",28,13
"2017-05-29",2017,"May",29,10
"2017-05-30",2017,"May",30,14
"2017-05-31",2017,"May",31,24
"2017-06-01",2017,"June",01,6
"2017-06-02",2017,"June",02,14
"2017-06-03",2017,"June",03,7
"2017-06-04",2017,"June",04,9
"2017-06-05",2017,"June",05,8
"2017-06-06",2017,"June",06,12
"2017-06-07",2017,"June",07,7
"2017-06-08",2017,"June",08,5
"2017-06-09",2017,"June",09,4
"2017-06-10",2017,"June",10,4
"2017-06-11",2017,"June",11,7
"2017-06-12",2017,"June",12,5
"2017-06-13",2017,"June",13,4
"2017-06-14",2017,"June",14,8
"2017-06-15",2017,"June",15,10
"2017-06-16",2017,"June",16,9
"2017-06-17",2017,"June",17,9
"2017-06-18",2017,"June",18,4
"2017-06-19",2017,"June",19,3
"2017-06-20",2017,"June",20,5
"2017-06-21",2017,"June",21,3
"2017-06-22",2017,"June",22,2
"2017-06-23",2017,"June",23,4
"2017-06-24",2017,"June",24,3
