"date","year","month","day","total_downloads"
"2017-05-14",2017,"May",14,885
"2017-05-15",2017,"May",15,535
"2017-05-16",2017,"May",16,327
"2017-05-17",2017,"May",17,223
"2017-05-18",2017,"May",18,179
"2017-05-19",2017,"May",19,160
"2017-05-20",2017,"May",20,139
"2017-05-21",2017,"May",21,92
"2017-05-22",2017,"May",22,59
"2017-05-23",2017,"May",23,35
"2017-05-24",2017,"May",24,41
"2017-05-25",2017,"May",25,51
"2017-05-26",2017,"May",26,28
"2017-05-27",2017,"May",27,45
"2017-05-28",2017,"May",28,16
"2017-05-29",2017,"May",29,11
"2017-05-30",2017,"May",30,18
"2017-05-31",2017,"May",31,26
"2017-06-01",2017,"June",01,15
"2017-06-02",2017,"June",02,7
"2017-06-03",2017,"June",03,6
"2017-06-04",2017,"June",04,12
"2017-06-05",2017,"June",05,6
"2017-06-06",2017,"June",06,20
"2017-06-07",2017,"June",07,15
"2017-06-08",2017,"June",08,9
"2017-06-09",2017,"June",09,9
"2017-06-10",2017,"June",10,8
"2017-06-11",2017,"June",11,9
"2017-06-12",2017,"June",12,9
"2017-06-13",2017,"June",13,11
"2017-06-14",2017,"June",14,12
"2017-06-15",2017,"June",15,8
"2017-06-16",2017,"June",16,9
"2017-06-17",2017,"June",17,7
"2017-06-18",2017,"June",18,5
"2017-06-19",2017,"June",19,4
"2017-06-20",2017,"June",20,7
"2017-06-21",2017,"June",21,8
"2017-06-22",2017,"June",22,5
"2017-06-23",2017,"June",23,5
"2017-06-24",2017,"June",24,4
