"date","year","month","day","total_downloads"
"2017-05-21",2017,"May",21,998
"2017-05-22",2017,"May",22,665
"2017-05-23",2017,"May",23,218
"2017-05-24",2017,"May",24,172
"2017-05-25",2017,"May",25,215
"2017-05-26",2017,"May",26,114
"2017-05-27",2017,"May",27,60
"2017-05-28",2017,"May",28,54
"2017-05-29",2017,"May",29,31
"2017-05-30",2017,"May",30,64
"2017-05-31",2017,"May",31,68
"2017-06-01",2017,"June",01,33
"2017-06-02",2017,"June",02,21
"2017-06-03",2017,"June",03,23
"2017-06-04",2017,"June",04,24
"2017-06-05",2017,"June",05,15
"2017-06-06",2017,"June",06,34
"2017-06-07",2017,"June",07,16
"2017-06-08",2017,"June",08,35
"2017-06-09",2017,"June",09,13
"2017-06-10",2017,"June",10,17
"2017-06-11",2017,"June",11,19
"2017-06-12",2017,"June",12,34
"2017-06-13",2017,"June",13,35
"2017-06-14",2017,"June",14,18
"2017-06-15",2017,"June",15,36
"2017-06-16",2017,"June",16,27
"2017-06-17",2017,"June",17,11
"2017-06-18",2017,"June",18,11
"2017-06-19",2017,"June",19,6
"2017-06-20",2017,"June",20,17
"2017-06-21",2017,"June",21,10
"2017-06-22",2017,"June",22,7
"2017-06-23",2017,"June",23,7
"2017-06-24",2017,"June",24,3
