"date","year","month","day","total_downloads"
"2017-05-28",2017,"May",28,870
"2017-05-29",2017,"May",29,489
"2017-05-30",2017,"May",30,275
"2017-05-31",2017,"May",31,169
"2017-06-01",2017,"June",01,133
"2017-06-02",2017,"June",02,92
"2017-06-03",2017,"June",03,56
"2017-06-04",2017,"June",04,40
"2017-06-05",2017,"June",05,37
"2017-06-06",2017,"June",06,46
"2017-06-07",2017,"June",07,24
"2017-06-08",2017,"June",08,28
"2017-06-09",2017,"June",09,22
"2017-06-10",2017,"June",10,21
"2017-06-11",2017,"June",11,26
"2017-06-12",2017,"June",12,39
"2017-06-13",2017,"June",13,26
"2017-06-14",2017,"June",14,15
"2017-06-15",2017,"June",15,18
"2017-06-16",2017,"June",16,22
"2017-06-17",2017,"June",17,24
"2017-06-18",2017,"June",18,10
"2017-06-19",2017,"June",19,16
"2017-06-20",2017,"June",20,11
"2017-06-21",2017,"June",21,11
"2017-06-22",2017,"June",22,3
"2017-06-23",2017,"June",23,2
"2017-06-24",2017,"June",24,21
