"date","year","month","day","total_downloads"
"2017-06-03",2017,"June",03,1
"2017-06-04",2017,"June",04,1154
"2017-06-05",2017,"June",05,866
"2017-06-06",2017,"June",06,655
"2017-06-07",2017,"June",07,458
"2017-06-08",2017,"June",08,437
"2017-06-09",2017,"June",09,586
"2017-06-10",2017,"June",10,206
"2017-06-11",2017,"June",11,196
"2017-06-12",2017,"June",12,115
"2017-06-13",2017,"June",13,77
"2017-06-14",2017,"June",14,79
"2017-06-15",2017,"June",15,77
"2017-06-16",2017,"June",16,55
"2017-06-17",2017,"June",17,45
"2017-06-18",2017,"June",18,50
"2017-06-19",2017,"June",19,63
"2017-06-20",2017,"June",20,22
"2017-06-21",2017,"June",21,32
"2017-06-22",2017,"June",22,17
"2017-06-23",2017,"June",23,13
"2017-06-24",2017,"June",24,8
