"date","year","month","day","total_downloads"
"2015-06-01",2015,"June",01,127
"2015-06-02",2015,"June",02,32
"2015-06-03",2015,"June",03,15
"2015-06-04",2015,"June",04,8
"2015-06-05",2015,"June",05,36
"2015-06-06",2015,"June",06,16
"2015-06-07",2015,"June",07,42
"2015-06-08",2015,"June",08,113
"2015-06-09",2015,"June",09,33
"2015-06-10",2015,"June",10,43
"2015-06-11",2015,"June",11,22
"2015-06-12",2015,"June",12,22
"2015-06-13",2015,"June",13,6
"2015-06-14",2015,"June",14,14
"2015-06-15",2015,"June",15,93
"2015-06-16",2015,"June",16,19
"2015-06-17",2015,"June",17,24
"2015-06-18",2015,"June",18,46
"2015-06-19",2015,"June",19,27
"2015-06-20",2015,"June",20,25
"2015-06-21",2015,"June",21,34
"2015-06-22",2015,"June",22,111
"2015-06-23",2015,"June",23,41
"2015-06-24",2015,"June",24,27
"2015-06-25",2015,"June",25,27
"2015-06-26",2015,"June",26,19
"2015-06-27",2015,"June",27,22
"2015-06-28",2015,"June",28,46
"2015-06-29",2015,"June",29,75
"2015-06-30",2015,"June",30,62
"2015-07-01",2015,"July",01,53
"2015-07-02",2015,"July",02,62
"2015-07-03",2015,"July",03,48
"2015-07-04",2015,"July",04,48
"2015-07-05",2015,"July",05,38
"2015-07-06",2015,"July",06,87
"2015-07-07",2015,"July",07,52
"2015-07-08",2015,"July",08,16
"2015-07-09",2015,"July",09,25
"2015-07-10",2015,"July",10,20
"2015-07-11",2015,"July",11,33
"2015-07-12",2015,"July",12,32
"2015-07-13",2015,"July",13,106
"2015-07-14",2015,"July",14,46
"2015-07-15",2015,"July",15,37
"2015-07-16",2015,"July",16,20
"2015-07-17",2015,"July",17,26
"2015-07-18",2015,"July",18,15
"2015-07-19",2015,"July",19,44
"2015-07-20",2015,"July",20,129
"2015-07-21",2015,"July",21,48
"2015-07-22",2015,"July",22,60
"2015-07-23",2015,"July",23,47
"2015-07-24",2015,"July",24,65
"2015-07-25",2015,"July",25,7
"2015-07-26",2015,"July",26,17
"2015-07-27",2015,"July",27,78
"2015-07-28",2015,"July",28,84
"2015-07-29",2015,"July",29,36
"2015-07-30",2015,"July",30,30
"2015-07-31",2015,"July",31,37
"2015-08-01",2015,"August",01,31
"2015-08-02",2015,"August",02,9
"2015-08-03",2015,"August",03,97
"2015-08-04",2015,"August",04,47
"2015-08-05",2015,"August",05,44
"2015-08-06",2015,"August",06,35
"2015-08-07",2015,"August",07,8
"2015-08-08",2015,"August",08,79
"2015-08-09",2015,"August",09,109
"2015-08-10",2015,"August",10,133
"2015-08-11",2015,"August",11,98
"2015-08-12",2015,"August",12,38
"2015-08-13",2015,"August",13,57
"2015-08-14",2015,"August",14,98
"2015-08-15",2015,"August",15,79
"2015-08-16",2015,"August",16,140
"2015-08-17",2015,"August",17,168
"2015-08-18",2015,"August",18,71
"2015-08-19",2015,"August",19,29
"2015-08-20",2015,"August",20,78
"2015-08-21",2015,"August",21,162
"2015-08-22",2015,"August",22,63
"2015-08-23",2015,"August",23,54
"2015-08-24",2015,"August",24,256
"2015-08-25",2015,"August",25,82
"2015-08-26",2015,"August",26,81
"2015-08-27",2015,"August",27,82
"2015-08-28",2015,"August",28,92
"2015-08-29",2015,"August",29,14
"2015-08-30",2015,"August",30,27
"2015-08-31",2015,"August",31,129
"2015-09-01",2015,"September",01,41
"2015-09-02",2015,"September",02,33
"2015-09-03",2015,"September",03,25
"2015-09-04",2015,"September",04,8
"2015-09-05",2015,"September",05,23
"2015-09-06",2015,"September",06,39
"2015-09-07",2015,"September",07,93
"2015-09-08",2015,"September",08,49
"2015-09-09",2015,"September",09,16
"2015-09-10",2015,"September",10,33
"2015-09-11",2015,"September",11,15
"2015-09-12",2015,"September",12,14
"2015-09-13",2015,"September",13,38
"2015-09-14",2015,"September",14,202
"2015-09-15",2015,"September",15,70
"2015-09-16",2015,"September",16,63
"2015-09-17",2015,"September",17,39
"2015-09-18",2015,"September",18,18
"2015-09-19",2015,"September",19,12
"2015-09-20",2015,"September",20,46
"2015-09-21",2015,"September",21,99
"2015-09-22",2015,"September",22,33
"2015-09-23",2015,"September",23,31
"2015-09-24",2015,"September",24,35
"2015-09-25",2015,"September",25,44
"2015-09-26",2015,"September",26,18
"2015-09-27",2015,"September",27,58
"2015-09-28",2015,"September",28,116
"2015-09-29",2015,"September",29,39
"2015-09-30",2015,"September",30,32
"2015-10-01",2015,"October",01,29
"2015-10-02",2015,"October",02,11
"2015-10-03",2015,"October",03,20
"2015-10-04",2015,"October",04,25
"2015-10-05",2015,"October",05,97
"2015-10-06",2015,"October",06,33
"2015-10-07",2015,"October",07,20
"2015-10-08",2015,"October",08,15
"2015-10-09",2015,"October",09,24
"2015-10-10",2015,"October",10,24
"2015-10-11",2015,"October",11,28
"2015-10-12",2015,"October",12,143
"2015-10-13",2015,"October",13,37
"2015-10-14",2015,"October",14,35
"2015-10-15",2015,"October",15,16
"2015-10-16",2015,"October",16,21
"2015-10-17",2015,"October",17,7
"2015-10-18",2015,"October",18,35
"2015-10-19",2015,"October",19,95
"2015-10-20",2015,"October",20,27
"2015-10-21",2015,"October",21,36
"2015-10-22",2015,"October",22,17
"2015-10-23",2015,"October",23,8
"2015-10-24",2015,"October",24,10
"2015-10-25",2015,"October",25,57
"2015-10-26",2015,"October",26,98
"2015-10-27",2015,"October",27,41
"2015-10-28",2015,"October",28,42
"2015-10-29",2015,"October",29,17
"2015-10-30",2015,"October",30,10
"2015-10-31",2015,"October",31,12
"2015-11-01",2015,"November",01,14
"2015-11-02",2015,"November",02,138
"2015-11-03",2015,"November",03,73
"2015-11-04",2015,"November",04,51
"2015-11-05",2015,"November",05,67
"2015-11-06",2015,"November",06,36
"2015-11-07",2015,"November",07,225
"2015-11-08",2015,"November",08,46
"2015-11-09",2015,"November",09,118
"2015-11-10",2015,"November",10,50
"2015-11-11",2015,"November",11,34
"2015-11-12",2015,"November",12,43
"2015-11-13",2015,"November",13,46
"2015-11-14",2015,"November",14,16
"2015-11-15",2015,"November",15,101
"2015-11-16",2015,"November",16,220
"2015-11-17",2015,"November",17,80
"2015-11-18",2015,"November",18,54
"2015-11-19",2015,"November",19,54
"2015-11-20",2015,"November",20,27
"2015-11-21",2015,"November",21,16
"2015-11-22",2015,"November",22,95
"2015-11-23",2015,"November",23,211
"2015-11-24",2015,"November",24,68
"2015-11-25",2015,"November",25,30
"2015-11-26",2015,"November",26,24
"2015-11-27",2015,"November",27,35
"2015-11-28",2015,"November",28,36
"2015-11-29",2015,"November",29,51
"2015-11-30",2015,"November",30,181
"2015-12-01",2015,"December",01,122
"2015-12-02",2015,"December",02,55
"2015-12-03",2015,"December",03,56
"2015-12-04",2015,"December",04,92
"2015-12-05",2015,"December",05,42
"2015-12-06",2015,"December",06,48
"2015-12-07",2015,"December",07,165
"2015-12-08",2015,"December",08,107
"2015-12-09",2015,"December",09,37
"2015-12-10",2015,"December",10,44
"2015-12-11",2015,"December",11,74
"2015-12-12",2015,"December",12,29
"2015-12-13",2015,"December",13,73
"2015-12-14",2015,"December",14,189
"2015-12-15",2015,"December",15,74
"2015-12-16",2015,"December",16,73
"2015-12-17",2015,"December",17,19
"2015-12-18",2015,"December",18,62
"2015-12-19",2015,"December",19,20
"2015-12-20",2015,"December",20,28
"2015-12-21",2015,"December",21,144
"2015-12-22",2015,"December",22,55
"2015-12-23",2015,"December",23,35
"2015-12-24",2015,"December",24,20
"2015-12-25",2015,"December",25,20
"2015-12-26",2015,"December",26,9
"2015-12-27",2015,"December",27,71
"2015-12-28",2015,"December",28,243
"2015-12-29",2015,"December",29,82
"2015-12-30",2015,"December",30,60
"2015-12-31",2015,"December",31,49
"2016-01-01",2016,"January",01,57
"2016-01-02",2016,"January",02,78
"2016-01-03",2016,"January",03,133
"2016-01-04",2016,"January",04,200
"2016-01-05",2016,"January",05,95
"2016-01-06",2016,"January",06,71
"2016-01-07",2016,"January",07,67
"2016-01-08",2016,"January",08,38
"2016-01-09",2016,"January",09,38
"2016-01-10",2016,"January",10,168
"2016-01-11",2016,"January",11,283
"2016-01-12",2016,"January",12,94
"2016-01-13",2016,"January",13,55
"2016-01-14",2016,"January",14,99
"2016-01-15",2016,"January",15,65
"2016-01-16",2016,"January",16,33
"2016-01-17",2016,"January",17,276
"2016-01-18",2016,"January",18,222
"2016-01-19",2016,"January",19,112
"2016-01-20",2016,"January",20,67
"2016-01-21",2016,"January",21,67
"2016-01-22",2016,"January",22,104
"2016-01-23",2016,"January",23,99
"2016-01-24",2016,"January",24,112
"2016-01-25",2016,"January",25,207
"2016-01-26",2016,"January",26,118
"2016-01-27",2016,"January",27,61
"2016-01-28",2016,"January",28,74
"2016-01-29",2016,"January",29,42
"2016-01-30",2016,"January",30,26
"2016-01-31",2016,"January",31,205
"2016-02-01",2016,"February",01,126
"2016-02-02",2016,"February",02,140
"2016-02-03",2016,"February",03,29
"2016-02-04",2016,"February",04,259
"2016-02-05",2016,"February",05,69
"2016-02-06",2016,"February",06,53
"2016-02-07",2016,"February",07,73
"2016-02-08",2016,"February",08,247
"2016-02-09",2016,"February",09,142
"2016-02-10",2016,"February",10,39
"2016-02-11",2016,"February",11,132
"2016-02-12",2016,"February",12,147
"2016-02-13",2016,"February",13,93
"2016-02-14",2016,"February",14,310
"2016-02-15",2016,"February",15,251
"2016-02-16",2016,"February",16,195
"2016-02-17",2016,"February",17,297
"2016-02-18",2016,"February",18,222
"2016-02-19",2016,"February",19,138
"2016-02-20",2016,"February",20,160
"2016-02-21",2016,"February",21,95
"2016-02-22",2016,"February",22,287
"2016-02-23",2016,"February",23,156
"2016-02-24",2016,"February",24,89
"2016-02-25",2016,"February",25,91
"2016-02-26",2016,"February",26,97
"2016-02-27",2016,"February",27,88
"2016-02-28",2016,"February",28,72
"2016-02-29",2016,"February",29,276
"2016-03-01",2016,"March",01,119
"2016-03-02",2016,"March",02,71
"2016-03-03",2016,"March",03,233
"2016-03-04",2016,"March",04,114
"2016-03-05",2016,"March",05,75
"2016-03-06",2016,"March",06,57
"2016-03-07",2016,"March",07,237
"2016-03-08",2016,"March",08,107
"2016-03-09",2016,"March",09,104
"2016-03-10",2016,"March",10,68
"2016-03-11",2016,"March",11,65
"2016-03-12",2016,"March",12,38
"2016-03-13",2016,"March",13,190
"2016-03-14",2016,"March",14,285
"2016-03-15",2016,"March",15,141
"2016-03-16",2016,"March",16,97
"2016-03-17",2016,"March",17,127
"2016-03-18",2016,"March",18,88
"2016-03-19",2016,"March",19,139
"2016-03-20",2016,"March",20,56
"2016-03-21",2016,"March",21,252
"2016-03-22",2016,"March",22,81
"2016-03-23",2016,"March",23,56
"2016-03-24",2016,"March",24,56
"2016-03-25",2016,"March",25,54
"2016-03-26",2016,"March",26,25
"2016-03-27",2016,"March",27,32
"2016-03-28",2016,"March",28,273
"2016-03-29",2016,"March",29,203
"2016-03-30",2016,"March",30,102
"2016-03-31",2016,"March",31,297
"2016-04-01",2016,"April",01,229
"2016-04-02",2016,"April",02,83
"2016-04-03",2016,"April",03,78
"2016-04-04",2016,"April",04,380
"2016-04-05",2016,"April",05,161
"2016-04-06",2016,"April",06,92
"2016-04-07",2016,"April",07,41
"2016-04-08",2016,"April",08,104
"2016-04-09",2016,"April",09,35
"2016-04-10",2016,"April",10,57
"2016-04-11",2016,"April",11,259
"2016-04-12",2016,"April",12,129
"2016-04-13",2016,"April",13,172
"2016-04-14",2016,"April",14,258
"2016-04-15",2016,"April",15,150
"2016-04-16",2016,"April",16,63
"2016-04-17",2016,"April",17,285
"2016-04-18",2016,"April",18,415
"2016-04-19",2016,"April",19,225
"2016-04-20",2016,"April",20,107
"2016-04-21",2016,"April",21,320
"2016-04-22",2016,"April",22,130
"2016-04-23",2016,"April",23,57
"2016-04-24",2016,"April",24,171
"2016-04-25",2016,"April",25,313
"2016-04-26",2016,"April",26,167
"2016-04-27",2016,"April",27,80
"2016-04-28",2016,"April",28,57
"2016-04-29",2016,"April",29,121
"2016-04-30",2016,"April",30,46
"2016-05-01",2016,"May",01,149
"2016-05-02",2016,"May",02,319
"2016-05-03",2016,"May",03,743
"2016-05-04",2016,"May",04,504
"2016-05-05",2016,"May",05,271
"2016-05-06",2016,"May",06,178
"2016-05-07",2016,"May",07,106
"2016-05-08",2016,"May",08,194
"2016-05-09",2016,"May",09,373
"2016-05-10",2016,"May",10,332
"2016-05-11",2016,"May",11,543
"2016-05-12",2016,"May",12,304
"2016-05-13",2016,"May",13,91
"2016-05-14",2016,"May",14,128
"2016-05-15",2016,"May",15,179
"2016-05-16",2016,"May",16,392
"2016-05-17",2016,"May",17,233
"2016-05-18",2016,"May",18,142
"2016-05-19",2016,"May",19,141
"2016-05-20",2016,"May",20,120
"2016-05-21",2016,"May",21,69
"2016-05-22",2016,"May",22,88
"2016-05-23",2016,"May",23,805
"2016-05-24",2016,"May",24,401
"2016-05-25",2016,"May",25,185
"2016-05-26",2016,"May",26,224
"2016-05-27",2016,"May",27,331
"2016-05-28",2016,"May",28,212
