"market","total_downloads"
"Portland / Auburn",6
"New York",2071
"Binghamton",24
"Macon",2
"Philadelphia",587
"Detroit",244
"Boston MA / Manchester",556
"Savannah",30
"Pittsburgh",165
"Ft. Wayne",13
"Cleveland / Akron (Canton)",100
"Washington DC (Hagerstown)",1112
"Baltimore",228
"Flint / Saginaw / Bay City",34
"Buffalo",59
"Cincinnati",115
"Charlotte",205
"Greensboro / High Point / Winston Salem",103
"Charleston",6
"Augusta",3
"Providence RI / New Bedford",47
"Columbus",13
"Burlington VT / Plattsburgh",36
"Atlanta",625
"Utica",13
"Indianapolis",85
"Miami / Ft. Lauderdale",394
"Louisville",140
"Tallahassee FL / Thomasville",11
"Tri-Cities TN",11
"Albany / Schenectady / Troy",54
"Hartford & New Haven",206
"Orlando / Daytona Beach / Melbourne",249
"Columbus",50
"Youngstown",416
"Bangor",1
"Rochester",41
"Tampa / St. Petersburg (Sarasota)",209
"Traverse City / Cadillac",5
"Lexington",5
"Dayton",97
"Springfield / Holyoke",4
"Norfolk / Portsmouth / Newport News",55
"Greenville / New Bern / Washington",5
"Columbia",42
"Toledo",10
"West Palm Beach / Ft. Pierce",186
"Wilmington",8
"Lansing",13
"Presque Isle",4
"Syracuse",45
"Richmond / Petersburg",111
"Knoxville",33
"Raleigh / Durham (Fayetteville)",129
"Jacksonville",212
"Grand Rapids / Kalamazoo / Battle Creek",59
"Elmira",3
"Harrisburg / Lancaster / Lebanon / York",32
"Greenville / Spartanburg SC / Asheville NC / Anderson",44
"Harrisonburg",24
"Florence / Myrtle Beach",23
"Ft. Myers / Naples",21
"Roanoke / Lynchburg",61
"Johnstown / Altoona",92
"Chattanooga",8
"Salisbury",52
"Wilkes Barre / Scranton",4
"Terre Haute",4
"Lafayette",1
"Charlottesville",2
"South Bend / Elkhart",12
"Gainesville",6
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",41
"Corpus Christi",28
"Chicago",902
"Joplin MO / Pittsburg",1
"Columbia / Jefferson City",6
"Topeka",5
"St. Louis",127
"Rockford",48
"Rochester MN / Mason City IA / Austin",9
"Shreveport",32
"Minneapolis / St. Paul",302
"Kansas City",229
"Milwaukee",124
"Houston",333
"Springfield",30
"New Orleans",140
"Dallas / Ft. Worth",583
"Sioux City",14
"Waco / Temple / Bryan",1683
"Victoria",2
"Birmingham",54
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",76
"Odessa / Midland",21
"Amarillo",1
"Austin",1021
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",171
"St. Joseph",3
"Jackson",9
"Memphis",43
"San Antonio",152
"Lafayette",4
"Champaign & Springfield / Decatur",4
"Evansville",9
"Oklahoma City",117
"Lubbock",40
"Omaha",60
"Panama City",3
"Sherman TX / Ada",6
"Green Bay / Appleton",48
"Nashville",73
"San Angelo",2
"Madison",198
"Ft. Smith / Fayetteville / Springdale / Rogers",21
"Tulsa",31
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",12
"Duluth MN / Superior",1
"Wichita / Hutchinson",35
"Des Moines / Ames",17
"Davenport IA / Rock Island / Moline",36
"Mobile AL / Pensacola (Ft. Walton Beach)",12
"Minot / Bismarck / Dickinson(Williston)",33
"Huntsville / Decatur (Florence)",10
"Beaumont / Port Arthur",2
"Little Rock / Pine Bluff",21
"Montgomery (Selma)",2
"La Crosse / Eau Claire",34
"Wausau / Rhinelander",6
"Tyler / Longview(Lufkin & Nacogdoches)",16
"Hattiesburg / Laurel",4
"Baton Rouge",11
"Jackson",18
"Lincoln & Hastings / Kearney",1
"Sioux Falls(Mitchell)",9
"Bowling Green",43
"Mankato",2
"North Platte",2
"Anchorage",9
"Honolulu",74
"Fairbanks",1
"Biloxi / Gulfport",2
"Juneau",5
"Laredo",1
"Denver",680
"Colorado Springs / Pueblo",7
"Phoenix",476
"Butte / Bozeman",78
"Great Falls",1
"Billings",42
"Boise",21
"Idaho Falls / Pocatello",6
"Cheyenne WY / Scottsbluff",11
"Twin Falls",9
"Missoula",45
"El Paso",4
"Salt Lake City",171
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",20
"Albuquerque / Santa Fe",37
"Bakersfield",27
"Eugene",29
"Eureka",2
"Los Angeles",2089
"Palm Springs",20
"San Francisco / Oakland / San Jose",2779
"Yakima / Pasco / Richland / Kennewick",210
"Reno",21
"Medford / Klamath Falls",6
"Seattle / Tacoma",729
"Portland",203
"Bend",53
"San Diego",242
"Monterey / Salinas",175
"Las Vegas",357
"Santa Barbara / Santa Maria / San Luis Obispo",47
"Sacramento / Stockton / Modesto",227
"Fresno / Visalia",14
"Chico / Redding",9
"Spokane",96
