"region","total_downloads"
", United States",7173
"Armed Forces Europe, Middle East, & Canada, United States",87
"Alaska, United States",204
"Alabama, United States",1263
"Armed Forces Pacific, United States",17
"Arkansas, United States",470
"Arizona, United States",2341
"California, United States",43925
"Colorado, United States",5067
"Connecticut, United States",2246
"District of Columbia, United States",2127
"Delaware, United States",1611
"Florida, United States",9005
"Georgia, United States",4759
"Hawaii, United States",727
"Iowa, United States",955
"Idaho, United States",522
"Illinois, United States",7692
"Indiana, United States",1385
"Kansas, United States",1081
"Kentucky, United States",926
"Louisiana, United States",1332
"Massachusetts, United States",3748
"Maryland, United States",4452
"Maine, United States",367
"Michigan, United States",2825
"Minnesota, United States",2440
"Missouri, United States",1788
"Mississippi, United States",743
"Montana, United States",601
"North Carolina, United States",6118
"North Dakota, United States",107
"Nebraska, United States",708
"New Hampshire, United States",443
"New Jersey, United States",6580
"New Mexico, United States",493
"Nevada, United States",2181
"New York, United States",13846
"Ohio, United States",3325
"Oklahoma, United States",733
"Oregon, United States",3626
"Pennsylvania, United States",5714
"Rhode Island, United States",410
"South Carolina, United States",1037
"South Dakota, United States",258
"Tennessee, United States",2415
"Texas, United States",18590
"Utah, United States",1896
"Virginia, United States",13909
"Vermont, United States",257
"Washington, United States",7114
"Wisconsin, United States",2164
"West Virginia, United States",144
"Wyoming, United States",62
