"market","total_downloads"
"Portland / Auburn",434
"New York",32378
"Binghamton",124
"Macon",176
"Philadelphia",8177
"Detroit",3029
"Boston MA / Manchester",7586
"Savannah",364
"Pittsburgh",2129
"Ft. Wayne",48
"Cleveland / Akron (Canton)",1603
"Washington DC (Hagerstown)",23833
"Baltimore",3502
"Flint / Saginaw / Bay City",265
"Buffalo",734
"Cincinnati",1017
"Erie",7
"Charlotte",3650
"Greensboro / High Point / Winston Salem",798
"Charleston",110
"Augusta",91
"Providence RI / New Bedford",1064
"Columbus",107
"Burlington VT / Plattsburgh",796
"Atlanta",6218
"Albany",114
"Utica",156
"Indianapolis",1375
"Miami / Ft. Lauderdale",5250
"Louisville",901
"Tallahassee FL / Thomasville",134
"Tri-Cities TN",183
"Albany / Schenectady / Troy",672
"Hartford & New Haven",2734
"Orlando / Daytona Beach / Melbourne",2655
"Columbus",1670
"Youngstown",553
"Bangor",71
"Rochester",665
"Tampa / St. Petersburg (Sarasota)",3104
"Traverse City / Cadillac",210
"Lexington",259
"Dayton",348
"Springfield / Holyoke",396
"Norfolk / Portsmouth / Newport News",793
"Greenville / New Bern / Washington",79
"Columbia",385
"Toledo",672
"West Palm Beach / Ft. Pierce",1346
"Watertown",104
"Wilmington",391
"Lansing",282
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",17
"Syracuse",351
"Richmond / Petersburg",795
"Knoxville",414
"Lima",4
"Bluefield / Beckley / Oak Hill",38
"Raleigh / Durham (Fayetteville)",5007
"Jacksonville",1185
"Grand Rapids / Kalamazoo / Battle Creek",711
"Charleston / Huntington",94
"Elmira",17
"Harrisburg / Lancaster / Lebanon / York",794
"Greenville / Spartanburg SC / Asheville NC / Anderson",1126
"Harrisonburg",55
"Florence / Myrtle Beach",178
"Ft. Myers / Naples",510
"Roanoke / Lynchburg",354
"Johnstown / Altoona",469
"Chattanooga",347
"Salisbury",1280
"Wilkes Barre / Scranton",368
"Terre Haute",22
"Lafayette",25
"Charlottesville",117
"South Bend / Elkhart",224
"Gainesville",168
"Zanesville",21
"Parkersburg",27
"Clarksburg / Weston",53
"Corpus Christi",56
"Chicago",10175
"Joplin MO / Pittsburg",32
"Columbia / Jefferson City",160
"Topeka",133
"Dothan",23
"St. Louis",1823
"Rockford",151
"Rochester MN / Mason City IA / Austin",169
"Shreveport",285
"Minneapolis / St. Paul",3967
"Kansas City",1752
"Milwaukee",1136
"Houston",5021
"Springfield",442
"New Orleans",1236
"Dallas / Ft. Worth",8848
"Sioux City",26
"Waco / Temple / Bryan",3399
"Victoria",2
"Wichita Falls TX & Lawton",9
"Monroe LA / El Dorado",60
"Birmingham",964
"Ottumwa IA / Kirksville",4
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",281
"Odessa / Midland",243
"Amarillo",130
"Austin",6336
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",854
"St. Joseph",18
"Jackson",84
"Memphis",747
"San Antonio",860
"Lafayette",32
"Lake Charles",6
"Alexandria",22
"Champaign & Springfield / Decatur",224
"Evansville",36
"Oklahoma City",875
"Lubbock",430
"Omaha",787
"Panama City",40
"Sherman TX / Ada",44
"Green Bay / Appleton",310
"Nashville",2071
"San Angelo",240
"Abilene / Sweetwater",24
"Madison",1726
"Ft. Smith / Fayetteville / Springdale / Rogers",260
"Tulsa",280
"Columbus / Tupelo / West Point",18
"Peoria / Bloomington",185
"Duluth MN / Superior",65
"Wichita / Hutchinson",462
"Des Moines / Ames",444
"Davenport IA / Rock Island / Moline",136
"Mobile AL / Pensacola (Ft. Walton Beach)",497
"Minot / Bismarck / Dickinson(Williston)",218
"Huntsville / Decatur (Florence)",343
"Beaumont / Port Arthur",27
"Little Rock / Pine Bluff",451
"Montgomery (Selma)",189
"La Crosse / Eau Claire",309
"Wausau / Rhinelander",41
"Tyler / Longview(Lufkin & Nacogdoches)",231
"Hattiesburg / Laurel",153
"Baton Rouge",523
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",298
"Lincoln & Hastings / Kearney",431
"Fargo / Valley City",159
"Sioux Falls(Mitchell)",290
"Jonesboro",17
"Bowling Green",65
"Mankato",15
"North Platte",3
"Anchorage",424
"Honolulu",1352
"Fairbanks",20
"Biloxi / Gulfport",448
"Juneau",110
"Laredo",12
"Denver",7125
"Colorado Springs / Pueblo",418
"Phoenix",3919
"Butte / Bozeman",239
"Great Falls",75
"Billings",244
"Boise",348
"Idaho Falls / Pocatello",129
"Cheyenne WY / Scottsbluff",73
"Twin Falls",49
"Missoula",140
"Rapid City",12
"El Paso",63
"Helena",2
"Casper / Riverton",6
"Salt Lake City",3397
"Yuma AZ / El Centro",6
"Grand Junction / Montrose",127
"Tucson (Sierra Vista)",300
"Albuquerque / Santa Fe",684
"Bakersfield",256
"Eugene",660
"Eureka",60
"Los Angeles",24827
"Palm Springs",245
"San Francisco / Oakland / San Jose",32564
"Yakima / Pasco / Richland / Kennewick",890
"Reno",286
"Medford / Klamath Falls",271
"Seattle / Tacoma",10155
"Portland",4091
"Bend",354
"San Diego",4860
"Monterey / Salinas",1907
"Las Vegas",3589
"Santa Barbara / Santa Maria / San Luis Obispo",1059
"Sacramento / Stockton / Modesto",3524
"Fresno / Visalia",206
"Chico / Redding",158
"Spokane",805
