"country_name","total_downloads"
"",6483
"Anonymous Proxy",1121
"Andorra",9
"United Arab Emirates",999
"Afghanistan",10
"Antigua and Barbuda",4
"Albania",23
"Armenia",7
"Angola",22
"Asia/Pacific Region",11
"Argentina",1008
"Austria",1790
"Australia",28485
"Aruba",11
"Aland Islands",46
"Azerbaijan",54
"Bosnia and Herzegovina",156
"Barbados",297
"Bangladesh",43
"Belgium",1745
"Burkina Faso",3
"Bulgaria",773
"Bahrain",137
"Benin",36
"Bermuda",537
"Brunei Darussalam",3
"Bolivia",142
"Bonaire, Saint Eustatius and Saba",5
"Brazil",7498
"Bahamas",285
"Bhutan",28
"Botswana",13
"Belarus",271
"Belize",6
"Canada",29988
"Congo",3
"Switzerland",4483
"Cote D'Ivoire",4068
"Chile",873
"Cameroon",314
"China",3724
"Colombia",1204
"Costa Rica",311
"Cuba",12
"Cape Verde",32
"Curaï¿½ao",19
"Cyprus",1282
"Czech Republic",2176
"Germany",15779
"Denmark",2175
"Dominican Republic",398
"Algeria",37
"Ecuador",613
"Estonia",367
"Egypt",355
"Spain",5114
"Ethiopia",3
"Europe",292
"Finland",2091
"Fiji",15
"Faroe Islands",10
"France",16601
"Gabon",1
"United Kingdom",35528
"Grenada",60
"Georgia",137
"Guernsey",4
"Ghana",347
"Gibraltar",51
"Greenland",72
"Guadeloupe",18
"Greece",403
"Guatemala",337
"Guam",8
"Guyana",4
"Hong Kong",1923
"Honduras",24
"Croatia",824
"Haiti",6
"Hungary",398
"Indonesia",967
"Ireland",3658
"Israel",1923
"Isle of Man",137
"India",4204
"Iraq",85
"Iran, Islamic Republic of",86
"Iceland",559
"Italy",2081
"Jersey",18
"Jamaica",84
"Jordan",24
"Japan",5242
"Kenya",463
"Kyrgyzstan",13
"Cambodia",262
"Saint Kitts and Nevis",2
"Korea, Republic of",2383
"Kuwait",459
"Cayman Islands",173
"Kazakhstan",89
"Lao People's Democratic Republic",21
"Lebanon",20
"Liechtenstein",134
"Sri Lanka",139
"Liberia",2
"Lithuania",379
"Luxembourg",359
"Latvia",573
"Libyan Arab Jamahiriya",1
"Morocco",128
"Monaco",295
"Moldova, Republic of",129
"Saint Martin",1
"Marshall Islands",9
"Macedonia",15
"Mali",13
"Myanmar",68
"Mongolia",41
"Macau",24
"Martinique",3
"Malta",297
"Mauritius",84
"Maldives",14
"Malawi",1
"Mexico",1903
"Malaysia",1515
"Namibia",104
"New Caledonia",6
"Niger",2
"Nigeria",630
"Nicaragua",68
"Netherlands",13571
"Norway",4291
"Nepal",62
"New Zealand",2971
"Oman",25
"Panama",37
"Peru",355
"French Polynesia",1
"Papua New Guinea",206
"Philippines",1045
"Pakistan",259
"Poland",2055
"Puerto Rico",125
"Palestinian Territory",10
"Portugal",961
"Paraguay",288
"Qatar",81
"Reunion",2
"Romania",1137
"Serbia",260
"Russian Federation",2189
"Rwanda",83
"Saudi Arabia",395
"Seychelles",14
"Sudan",30
"Sweden",9579
"Singapore",4001
"Slovenia",2280
"Slovakia",334
"Sierra Leone",2
"Senegal",8
"Suriname",1
"El Salvador",13
"Sint Maarten (Dutch part)",2
"Swaziland",2
"Turks and Caicos Islands",47
"Togo",152
"Thailand",2469
"Tunisia",14
"Tonga",5
"Turkey",410
"Trinidad and Tobago",63
"Taiwan",1402
"Tanzania, United Republic of",218
"Ukraine",962
"Uganda",13
"United States",338229
"Uruguay",107
"Venezuela",235
"Virgin Islands, British",3
"Virgin Islands, U.S.",1
"Vietnam",1146
"Samoa",1
"Mayotte",3
"South Africa",4459
"Zambia",37
"Zimbabwe",39
