"country_name","total_downloads"
"",6851
"Anonymous Proxy",1143
"Andorra",9
"United Arab Emirates",1271
"Afghanistan",10
"Antigua and Barbuda",4
"Albania",47
"Armenia",9
"Angola",22
"Asia/Pacific Region",18
"Argentina",1086
"Austria",1908
"Australia",32744
"Aruba",14
"Aland Islands",61
"Azerbaijan",56
"Bosnia and Herzegovina",217
"Barbados",324
"Bangladesh",47
"Belgium",2059
"Burkina Faso",3
"Bulgaria",857
"Bahrain",181
"Benin",41
"Bermuda",598
"Brunei Darussalam",4
"Bolivia",160
"Bonaire, Saint Eustatius and Saba",5
"Brazil",8605
"Bahamas",315
"Bhutan",28
"Botswana",16
"Belarus",302
"Belize",6
"Canada",34143
"Congo",3
"Switzerland",4926
"Cote D'Ivoire",4446
"Chile",969
"Cameroon",314
"China",3995
"Colombia",1244
"Costa Rica",342
"Cuba",12
"Cape Verde",32
"Curaï¿½ao",19
"Cyprus",1338
"Czech Republic",2315
"Germany",17857
"Denmark",2468
"Dominican Republic",423
"Algeria",40
"Ecuador",617
"Estonia",429
"Egypt",428
"Spain",5627
"Ethiopia",4
"Europe",295
"Finland",2186
"Fiji",15
"Faroe Islands",10
"France",17277
"Gabon",1
"United Kingdom",40321
"Grenada",82
"Georgia",149
"Guernsey",4
"Ghana",395
"Gibraltar",56
"Greenland",72
"Guadeloupe",27
"Greece",532
"Guatemala",345
"Guam",9
"Guyana",4
"Hong Kong",2226
"Honduras",31
"Croatia",910
"Haiti",23
"Hungary",417
"Indonesia",1107
"Ireland",4176
"Israel",2228
"Isle of Man",153
"India",4521
"Iraq",132
"Iran, Islamic Republic of",100
"Iceland",606
"Italy",2316
"Jersey",19
"Jamaica",88
"Jordan",24
"Japan",5797
"Kenya",562
"Kyrgyzstan",14
"Cambodia",292
"Saint Kitts and Nevis",2
"Korea, Republic of",2513
"Kuwait",468
"Cayman Islands",177
"Kazakhstan",91
"Lao People's Democratic Republic",22
"Lebanon",24
"Liechtenstein",136
"Sri Lanka",146
"Liberia",2
"Lesotho",3
"Lithuania",404
"Luxembourg",411
"Latvia",622
"Libyan Arab Jamahiriya",1
"Morocco",157
"Monaco",314
"Moldova, Republic of",155
"Saint Martin",1
"Marshall Islands",9
"Macedonia",17
"Mali",16
"Myanmar",88
"Mongolia",41
"Macau",61
"Martinique",3
"Malta",319
"Mauritius",90
"Maldives",14
"Malawi",1
"Mexico",2164
"Malaysia",1648
"Namibia",104
"New Caledonia",6
"Niger",2
"Nigeria",653
"Nicaragua",71
"Netherlands",14925
"Norway",4988
"Nepal",67
"New Zealand",3357
"Oman",25
"Panama",53
"Peru",370
"French Polynesia",15
"Papua New Guinea",206
"Philippines",1373
"Pakistan",273
"Poland",2319
"Puerto Rico",133
"Palestinian Territory",10
"Portugal",1043
"Paraguay",325
"Qatar",169
"Reunion",2
"Romania",1191
"Serbia",285
"Russian Federation",2436
"Rwanda",93
"Saudi Arabia",403
"Seychelles",14
"Sudan",30
"Sweden",10566
"Singapore",4947
"Slovenia",2526
"Slovakia",452
"Sierra Leone",2
"Senegal",11
"Suriname",2
"El Salvador",13
"Sint Maarten (Dutch part)",2
"Swaziland",2
"Turks and Caicos Islands",47
"Togo",156
"Thailand",2725
"Tunisia",14
"Tonga",5
"Turkey",528
"Trinidad and Tobago",64
"Taiwan",1435
"Tanzania, United Republic of",218
"Ukraine",1037
"Uganda",13
"United States",380660
"Uruguay",113
"Venezuela",257
"Virgin Islands, British",3
"Virgin Islands, U.S.",1
"Vietnam",1241
"Samoa",1
"Mayotte",3
"South Africa",5351
"Zambia",39
"Zimbabwe",39
