"state","requests"
"Alaska","55"
"Alabama","102"
"Arkansas","25"
"Arizona","296"
"California","4144"
"Colorado","635"
"Connecticut","254"
"District of Columbia","89"
"Delaware","14"
"Florida","1059"
"Georgia","519"
"Hawaii","103"
"Iowa","67"
"Idaho","96"
"Illinois","1237"
"Indiana","97"
"Kansas","119"
"Kentucky","96"
"Louisiana","85"
"Massachusetts","454"
"Maryland","558"
"Maine","22"
"Michigan","555"
"Minnesota","214"
"Missouri","185"
"Mississippi","40"
"Montana","28"
"North Carolina","441"
"North Dakota","11"
"Nebraska","138"
"New Hampshire","68"
"New Jersey","758"
"New Mexico","57"
"Armed Forces Europe Middle East & Canada","113"
"Nevada","300"
"New York","1439"
"Ohio","496"
"Oklahoma","101"
"Oregon","485"
"Pennsylvania","534"
"Rhode Island","88"
"South Carolina","134"
"South Dakota","10"
"Tennessee","168"
"Texas","1553"
"Utah","166"
"Virginia","389"
"Vermont","36"
"Washington","690"
"Wisconsin","272"
"West Virginia","36"
"Wyoming","6"
