"region","requests"
"Anonymous Proxy","12"
"Andorra","12"
"United Arab Emirates","73"
"Albania","5"
"Argentina","38"
"Austria","117"
"Australia","1760"
"Aruba","2"
"Aland Islands","3"
"Bosnia and Herzegovina","15"
"Barbados","5"
"Bangladesh","5"
"Belgium","173"
"Bulgaria","51"
"Bahrain","5"
"Bermuda","24"
"Bolivia","6"
"Bonaire Saint Eustatius and Saba","3"
"Brazil","192"
"Bahamas","9"
"Belarus","32"
"Canada","1649"
"Switzerland","201"
"Cote D'Ivoire","1"
"Chile","23"
"China","114"
"Colombia","75"
"Costa Rica","125"
"Cuba","8"
"Curaao","2"
"Cyprus","16"
"Czech Republic","92"
"Germany","997"
"Denmark","85"
"Dominican Republic","11"
"Algeria","9"
"Ecuador","45"
"Estonia","37"
"Egypt","16"
"Spain","295"
"Europe","87"
"Finland","39"
"France","239"
"United Kingdom","2219"
"Georgia","1"
"Ghana","48"
"Greece","20"
"Guatemala","1"
"Guam","4"
"Hong Kong","140"
"Croatia","26"
"Hungary","10"
"Indonesia","25"
"Ireland","231"
"Israel","95"
"Isle of Man","8"
"India","173"
"Iran Islamic Republic of","2"
"Iceland","9"
"Italy","122"
"Jamaica","10"
"Japan","344"
"Kenya","111"
"Cambodia","28"
"Korea Republic of","84"
"Kuwait","9"
"Cayman Islands","4"
"Sri Lanka","11"
"Liberia","1"
"Lesotho","13"
"Lithuania","43"
"Luxembourg","15"
"Latvia","13"
"Morocco","7"
"Moldova Republic of","4"
"Macedonia","1"
"Macau","13"
"Montserrat","2"
"Malta","16"
"Maldives","2"
"Mexico","127"
"Malaysia","97"
"Namibia","1"
"Nigeria","14"
"Netherlands","656"
"Norway","283"
"Nepal","14"
"New Zealand","341"
"Panama","24"
"Peru","10"
"Philippines","84"
"Pakistan","18"
"Poland","117"
"Puerto Rico","8"
"Portugal","98"
"Qatar","10"
"Romania","199"
"Serbia","17"
"Russian Federation","93"
"Saudi Arabia","33"
"Sweden","460"
"Singapore","302"
"Slovenia","50"
"Slovakia","21"
"Swaziland","1"
"Thailand","121"
"Tunisia","1"
"Turkey","87"
"Trinidad and Tobago","1"
"Taiwan","125"
"Tanzania United Republic of","2"
"Ukraine","40"
"United States","18575"
"Uruguay","5"
"Venezuela","3"
"Vietnam","46"
"Mayotte","1"
"South Africa","263"
"Zimbabwe","2"
