"Date","Downloads"
"2017-11-20","4013"
"2017-11-21","2495"
"2017-11-22","2543"
"2017-11-23","2134"
"2017-11-24","2328"
"2017-11-25","1126"
"2017-11-26","3619"
"2017-11-27","4518"
"2017-11-28","2777"
"2017-11-29","4692"
"2017-11-30","6203"
"2017-12-01","3432"
"2017-12-02","1679"
"2017-12-03","3388"
"2017-12-04","3727"
"2017-12-05","4211"
"2017-12-06","3281"
"2017-12-07","2419"
"2017-12-08","4023"
"2017-12-09","4351"
"2017-12-10","6772"
"2017-12-11","9923"
"2017-12-12","5144"
"2017-12-13","3135"
"2017-12-14","2564"
"2017-12-15","1793"
"2017-12-16","1878"
"2017-12-17","3489"
"2017-12-18","4022"
"2017-12-19","7688"
"2017-12-20","3541"
"2017-12-21","4526"
"2017-12-22","8186"
"2017-12-23","3270"
"2017-12-24","4556"
"2017-12-25","2587"
"2017-12-26","4366"
"2017-12-27","3508"
"2017-12-28","5180"
"2017-12-29","2643"
"2017-12-30","2291"
"2017-12-31","3560"
"2018-01-01","2216"
"2018-01-02","2514"
"2018-01-03","4718"
"2018-01-04","3015"
"2018-01-05","1787"
"2018-01-06","1500"
"2018-01-07","3041"
"2018-01-08","6194"
"2018-01-09","3708"
"2018-01-10","5511"
"2018-01-11","5881"
"2018-01-12","2734"
"2018-01-13","1653"
"2018-01-14","3958"
"2018-01-15","6072"
"2018-01-16","6421"
"2018-01-17","8150"
"2018-01-18","6463"
"2018-01-19","3263"
"2018-01-20","1969"
"2018-01-21","4210"
"2018-01-22","3152"
"2018-01-23","2380"
"2018-01-24","4570"
"2018-01-25","6349"
"2018-01-26","7101"
"2018-01-27","2525"
"2018-01-28","3736"
"2018-01-29","4188"
"2018-01-30","2162"
"2018-01-31","4275"
"2018-02-01","4996"
"2018-02-02","6955"
"2018-02-03","4508"
"2018-02-04","4368"
"2018-02-05","6767"
"2018-02-06","5222"
"2018-02-07","7735"
"2018-02-08","7239"
"2018-02-09","8382"
"2018-02-10","3627"
"2018-02-11","5170"
"2018-02-12","4608"
"2018-02-13","2370"
"2018-02-14","4255"
"2018-02-15","3182"
"2018-02-16","2340"
"2018-02-17","1600"
"2018-02-18","1189"
