"region","region_name","country_code","region","requests"
"Alaska","81","Alaska","US","US-AK"
"Alabama","131","Alabama","US","US-AL"
"Arkansas","34","Arkansas","US","US-AR"
"Arizona","448","Arizona","US","US-AZ"
"California","4067","California","US","US-CA"
"Colorado","396","Colorado","US","US-CO"
"Connecticut","222","Connecticut","US","US-CT"
"District of Columbia","94","District of Columbia","US","US-DC"
"Delaware","64","Delaware","US","US-DE"
"Florida","1172","Florida","US","US-FL"
"Georgia","470","Georgia","US","US-GA"
"Hawaii","130","Hawaii","US","US-HI"
"Iowa","46","Iowa","US","US-IA"
"Idaho","117","Idaho","US","US-ID"
"Illinois","935","Illinois","US","US-IL"
"Indiana","127","Indiana","US","US-IN"
"Kansas","67","Kansas","US","US-KS"
"Kentucky","110","Kentucky","US","US-KY"
"Louisiana","90","Louisiana","US","US-LA"
"Massachusetts","493","Massachusetts","US","US-MA"
"Maryland","249","Maryland","US","US-MD"
"Maine","7","Maine","US","US-ME"
"Michigan","340","Michigan","US","US-MI"
"Minnesota","208","Minnesota","US","US-MN"
"Missouri","191","Missouri","US","US-MO"
"Mississippi","91","Mississippi","US","US-MS"
"Montana","28","Montana","US","US-MT"
"North Carolina","422","North Carolina","US","US-NC"
"North Dakota","13","North Dakota","US","US-ND"
"Nebraska","50","Nebraska","US","US-NE"
"New Hampshire","53","New Hampshire","US","US-NH"
"New Jersey","590","New Jersey","US","US-NJ"
"New Mexico","97","New Mexico","US","US-NM"
"Armed Forces Europe Middle East & Canada","24","Armed Forces Europe Middle East & Canada","US","US-NUL"
"Nevada","343","Nevada","US","US-NV"
"New York","1852","New York","US","US-NY"
"Ohio","375","Ohio","US","US-OH"
"Oklahoma","85","Oklahoma","US","US-OK"
"Oregon","318","Oregon","US","US-OR"
"Pennsylvania","466","Pennsylvania","US","US-PA"
"Rhode Island","56","Rhode Island","US","US-RI"
"South Carolina","86","South Carolina","US","US-SC"
"South Dakota","15","South Dakota","US","US-SD"
"Tennessee","248","Tennessee","US","US-TN"
"Texas","1440","Texas","US","US-TX"
"Utah","115","Utah","US","US-UT"
"Virginia","430","Virginia","US","US-VA"
"Vermont","13","Vermont","US","US-VT"
"Washington","671","Washington","US","US-WA"
"Wisconsin","136","Wisconsin","US","US-WI"
"West Virginia","11","West Virginia","US","US-WV"
"Wyoming","19","Wyoming","US","US-WY"
