"Date","Downloads"
"2018-11-19","45"
"2018-11-20","64"
"2018-11-21","35"
"2018-11-22","41"
"2018-11-23","45"
"2018-11-24","19"
"2018-11-25","15"
"2018-11-26","52"
"2018-11-27","56"
"2018-11-28","30"
"2018-11-29","41"
"2018-11-30","29"
"2018-12-01","34"
"2018-12-02","26"
"2018-12-03","45"
"2018-12-04","37"
"2018-12-05","44"
"2018-12-06","36"
"2018-12-07","18"
"2018-12-08","12"
"2018-12-09","24"
"2018-12-10","40"
"2018-12-11","33"
"2018-12-12","19"
"2018-12-13","26"
"2018-12-14","19"
"2018-12-15","25"
"2018-12-16","25"
"2018-12-17","64"
"2018-12-18","46"
"2018-12-19","37"
"2018-12-20","45"
"2018-12-21","26"
"2018-12-22","10"
"2018-12-23","13"
"2018-12-24","18"
"2018-12-25","5"
"2018-12-26","17"
"2018-12-27","19"
"2018-12-28","21"
"2018-12-29","20"
"2018-12-30","27"
"2018-12-31","13"
"2019-01-01","4"
"2019-01-02","28"
"2019-01-03","29"
"2019-01-04","27"
"2019-01-05","11"
"2019-01-06","23"
"2019-01-07","53"
"2019-01-08","65"
"2019-01-09","58"
"2019-01-10","49"
"2019-01-11","29"
"2019-01-12","9"
"2019-01-13","13"
"2019-01-14","41"
"2019-01-15","51"
"2019-01-16","44"
"2019-01-17","45"
"2019-01-18","28"
"2019-01-19","24"
"2019-01-20","23"
"2019-01-21","58"
"2019-01-22","55"
"2019-01-23","49"
"2019-01-24","38"
"2019-01-25","36"
"2019-01-26","21"
"2019-01-27","17"
"2019-01-28","55"
"2019-01-29","51"
"2019-01-30","36"
"2019-01-31","58"
"2019-02-01","42"
"2019-02-02","27"
"2019-02-03","33"
"2019-02-04","39"
"2019-02-05","48"
"2019-02-06","26"
"2019-02-07","36"
"2019-02-08","31"
"2019-02-09","13"
"2019-02-10","18"
"2019-02-11","25"
"2019-02-12","42"
"2019-02-13","45"
"2019-02-14","24"
"2019-02-15","18"
"2019-02-16","0"
"2019-02-17","0"
