"date","year","month","day","total_downloads"
"2016-11-11",2016,"November",11,279
"2016-11-12",2016,"November",12,211
"2016-11-13",2016,"November",13,111
"2016-11-14",2016,"November",14,45
"2016-11-15",2016,"November",15,55
"2016-11-16",2016,"November",16,24
"2016-11-17",2016,"November",17,30
"2016-11-18",2016,"November",18,13
"2016-11-19",2016,"November",19,13
"2016-11-20",2016,"November",20,14
"2016-11-21",2016,"November",21,10
"2016-11-22",2016,"November",22,8
"2016-11-23",2016,"November",23,10
"2016-11-24",2016,"November",24,5
"2016-11-25",2016,"November",25,5
"2016-11-26",2016,"November",26,4
"2016-11-27",2016,"November",27,7
"2016-11-28",2016,"November",28,10
"2016-11-29",2016,"November",29,8
"2016-11-30",2016,"November",30,5
"2016-12-01",2016,"December",01,6
"2016-12-02",2016,"December",02,3
"2016-12-03",2016,"December",03,8
"2016-12-04",2016,"December",04,14
"2016-12-05",2016,"December",05,6
"2016-12-06",2016,"December",06,2
"2016-12-07",2016,"December",07,2
"2016-12-08",2016,"December",08,4
"2016-12-09",2016,"December",09,9
"2016-12-10",2016,"December",10,6
"2016-12-11",2016,"December",11,5
"2016-12-12",2016,"December",12,7
"2016-12-13",2016,"December",13,3
"2016-12-14",2016,"December",14,2
"2016-12-15",2016,"December",15,1
"2016-12-16",2016,"December",16,0
"2016-12-17",2016,"December",17,0
"2016-12-18",2016,"December",18,4
"2016-12-19",2016,"December",19,1
"2016-12-20",2016,"December",20,3
"2016-12-21",2016,"December",21,7
"2016-12-22",2016,"December",22,1
"2016-12-23",2016,"December",23,2
"2016-12-24",2016,"December",24,4
"2016-12-25",2016,"December",25,2
"2016-12-26",2016,"December",26,3
"2016-12-27",2016,"December",27,0
"2016-12-28",2016,"December",28,3
"2016-12-29",2016,"December",29,0
"2016-12-30",2016,"December",30,0
"2016-12-31",2016,"December",31,0
"2017-01-01",2017,"January",1,0
"2017-01-02",2017,"January",02,1
"2017-01-03",2017,"January",03,4
"2017-01-04",2017,"January",04,1
"2017-01-05",2017,"January",5,0
"2017-01-06",2017,"January",06,4
"2017-01-07",2017,"January",07,5
"2017-01-08",2017,"January",08,1
"2017-01-09",2017,"January",09,1
"2017-01-10",2017,"January",10,0
"2017-01-11",2017,"January",11,2
"2017-01-12",2017,"January",12,4
"2017-01-13",2017,"January",13,0
"2017-01-14",2017,"January",14,1
"2017-01-15",2017,"January",15,1
"2017-01-16",2017,"January",16,1
"2017-01-17",2017,"January",17,0
"2017-01-18",2017,"January",18,0
"2017-01-19",2017,"January",19,2
"2017-01-20",2017,"January",20,1
"2017-01-21",2017,"January",21,0
"2017-01-22",2017,"January",22,0
"2017-01-23",2017,"January",23,0
"2017-01-24",2017,"January",24,0
"2017-01-25",2017,"January",25,0
"2017-01-26",2017,"January",26,2
"2017-01-27",2017,"January",27,3
"2017-01-28",2017,"January",28,3
"2017-01-29",2017,"January",29,2
"2017-01-30",2017,"January",30,2
"2017-01-31",2017,"January",31,1
"2017-02-01",2017,"February",01,2
"2017-02-02",2017,"February",2,0
"2017-02-03",2017,"February",3,0
"2017-02-04",2017,"February",04,1
"2017-02-05",2017,"February",05,1
"2017-02-06",2017,"February",06,1
"2017-02-07",2017,"February",07,1
"2017-02-08",2017,"February",8,0
"2017-02-09",2017,"February",09,1
"2017-02-10",2017,"February",10,3
"2017-02-11",2017,"February",11,2
"2017-02-12",2017,"February",12,0
"2017-02-13",2017,"February",13,0
"2017-02-14",2017,"February",14,0
"2017-02-15",2017,"February",15,1
"2017-02-16",2017,"February",16,0
"2017-02-17",2017,"February",17,0
"2017-02-18",2017,"February",18,0
"2017-02-19",2017,"February",19,0
"2017-02-20",2017,"February",20,0
"2017-02-21",2017,"February",21,0
"2017-02-22",2017,"February",22,0
"2017-02-23",2017,"February",23,2
"2017-02-24",2017,"February",24,1
"2017-02-25",2017,"February",25,0
"2017-02-26",2017,"February",26,0
"2017-02-27",2017,"February",27,1
"2017-02-28",2017,"February",28,0
"2017-03-01",2017,"March",1,0
"2017-03-02",2017,"March",2,0
"2017-03-03",2017,"March",03,1
"2017-03-04",2017,"March",04,2
"2017-03-05",2017,"March",05,3
"2017-03-06",2017,"March",6,0
"2017-03-07",2017,"March",07,1
"2017-03-08",2017,"March",8,0
"2017-03-09",2017,"March",9,0
"2017-03-10",2017,"March",10,0
"2017-03-11",2017,"March",11,1
"2017-03-12",2017,"March",12,0
"2017-03-13",2017,"March",13,0
"2017-03-14",2017,"March",14,0
"2017-03-15",2017,"March",15,1
"2017-03-16",2017,"March",16,2
"2017-03-17",2017,"March",17,2
"2017-03-18",2017,"March",18,0
"2017-03-19",2017,"March",19,0
"2017-03-20",2017,"March",20,2
"2017-03-21",2017,"March",21,3
"2017-03-22",2017,"March",22,1
"2017-03-23",2017,"March",23,0
"2017-03-24",2017,"March",24,1
"2017-03-25",2017,"March",25,1
"2017-03-26",2017,"March",26,0
"2017-03-27",2017,"March",27,0
"2017-03-28",2017,"March",28,1
"2017-03-29",2017,"March",29,0
"2017-03-30",2017,"March",30,1
"2017-03-31",2017,"March",31,0
