"date","year","month","day","total_downloads"
"2016-12-01",2016,"December",01,360
"2016-12-02",2016,"December",02,203
"2016-12-03",2016,"December",03,99
"2016-12-04",2016,"December",04,75
"2016-12-05",2016,"December",05,39
"2016-12-06",2016,"December",06,16
"2016-12-07",2016,"December",07,17
"2016-12-08",2016,"December",08,13
"2016-12-09",2016,"December",09,10
"2016-12-10",2016,"December",10,13
"2016-12-11",2016,"December",11,12
"2016-12-12",2016,"December",12,27
"2016-12-13",2016,"December",13,22
"2016-12-14",2016,"December",14,19
"2016-12-15",2016,"December",15,16
"2016-12-16",2016,"December",16,33
"2016-12-17",2016,"December",17,25
"2016-12-18",2016,"December",18,24
"2016-12-19",2016,"December",19,22
"2016-12-20",2016,"December",20,12
"2016-12-21",2016,"December",21,11
"2016-12-22",2016,"December",22,7
"2016-12-23",2016,"December",23,19
"2016-12-24",2016,"December",24,20
"2016-12-25",2016,"December",25,13
"2016-12-26",2016,"December",26,6
"2016-12-27",2016,"December",27,6
"2016-12-28",2016,"December",28,2
"2016-12-29",2016,"December",29,4
"2016-12-30",2016,"December",30,4
"2016-12-31",2016,"December",31,6
"2017-01-01",2017,"January",01,8
"2017-01-02",2017,"January",02,7
"2017-01-03",2017,"January",03,19
"2017-01-04",2017,"January",04,17
"2017-01-05",2017,"January",05,11
"2017-01-06",2017,"January",06,1
"2017-01-07",2017,"January",07,6
"2017-01-08",2017,"January",08,10
"2017-01-09",2017,"January",09,5
"2017-01-10",2017,"January",10,3
"2017-01-11",2017,"January",11,3
"2017-01-12",2017,"January",12,6
"2017-01-13",2017,"January",13,2
"2017-01-14",2017,"January",14,4
"2017-01-15",2017,"January",15,1
"2017-01-16",2017,"January",16,2
"2017-01-17",2017,"January",17,0
"2017-01-18",2017,"January",18,1
"2017-01-19",2017,"January",19,5
"2017-01-20",2017,"January",20,0
"2017-01-21",2017,"January",21,3
"2017-01-22",2017,"January",22,3
"2017-01-23",2017,"January",23,2
"2017-01-24",2017,"January",24,2
"2017-01-25",2017,"January",25,6
"2017-01-26",2017,"January",26,14
"2017-01-27",2017,"January",27,1
"2017-01-28",2017,"January",28,0
"2017-01-29",2017,"January",29,6
"2017-01-30",2017,"January",30,9
"2017-01-31",2017,"January",31,6
"2017-02-01",2017,"February",01,6
"2017-02-02",2017,"February",02,12
"2017-02-03",2017,"February",03,20
"2017-02-04",2017,"February",04,14
"2017-02-05",2017,"February",05,6
"2017-02-06",2017,"February",6,0
"2017-02-07",2017,"February",07,1
"2017-02-08",2017,"February",08,1
"2017-02-09",2017,"February",09,6
"2017-02-10",2017,"February",10,3
"2017-02-11",2017,"February",11,1
"2017-02-12",2017,"February",12,4
"2017-02-13",2017,"February",13,0
"2017-02-14",2017,"February",14,1
"2017-02-15",2017,"February",15,1
"2017-02-16",2017,"February",16,0
"2017-02-17",2017,"February",17,3
"2017-02-18",2017,"February",18,0
"2017-02-19",2017,"February",19,2
"2017-02-20",2017,"February",20,3
"2017-02-21",2017,"February",21,2
"2017-02-22",2017,"February",22,1
"2017-02-23",2017,"February",23,0
"2017-02-24",2017,"February",24,2
"2017-02-25",2017,"February",25,2
"2017-02-26",2017,"February",26,1
"2017-02-27",2017,"February",27,1
"2017-02-28",2017,"February",28,1
"2017-03-01",2017,"March",1,0
"2017-03-02",2017,"March",2,0
"2017-03-03",2017,"March",03,2
"2017-03-04",2017,"March",04,1
"2017-03-05",2017,"March",05,4
"2017-03-06",2017,"March",06,5
"2017-03-07",2017,"March",07,2
"2017-03-08",2017,"March",8,0
"2017-03-09",2017,"March",9,0
"2017-03-10",2017,"March",10,1
"2017-03-11",2017,"March",11,1
"2017-03-12",2017,"March",12,5
"2017-03-13",2017,"March",13,0
"2017-03-14",2017,"March",14,1
"2017-03-15",2017,"March",15,2
"2017-03-16",2017,"March",16,3
"2017-03-17",2017,"March",17,0
"2017-03-18",2017,"March",18,1
"2017-03-19",2017,"March",19,2
"2017-03-20",2017,"March",20,4
"2017-03-21",2017,"March",21,8
"2017-03-22",2017,"March",22,3
"2017-03-23",2017,"March",23,5
"2017-03-24",2017,"March",24,1
"2017-03-25",2017,"March",25,0
"2017-03-26",2017,"March",26,15
"2017-03-27",2017,"March",27,24
"2017-03-28",2017,"March",28,22
"2017-03-29",2017,"March",29,25
"2017-03-30",2017,"March",30,21
"2017-03-31",2017,"March",31,3
