"date","year","month","day","total_downloads"
"2017-01-02",2017,"January",02,176
"2017-01-03",2017,"January",03,356
"2017-01-04",2017,"January",04,127
"2017-01-05",2017,"January",05,51
"2017-01-06",2017,"January",06,29
"2017-01-07",2017,"January",07,15
"2017-01-08",2017,"January",08,24
"2017-01-09",2017,"January",09,16
"2017-01-10",2017,"January",10,14
"2017-01-11",2017,"January",11,10
"2017-01-12",2017,"January",12,19
"2017-01-13",2017,"January",13,16
"2017-01-14",2017,"January",14,5
"2017-01-15",2017,"January",15,26
"2017-01-16",2017,"January",16,7
"2017-01-17",2017,"January",17,3
"2017-01-18",2017,"January",18,8
"2017-01-19",2017,"January",19,7
"2017-01-20",2017,"January",20,2
"2017-01-21",2017,"January",21,13
"2017-01-22",2017,"January",22,3
"2017-01-23",2017,"January",23,7
"2017-01-24",2017,"January",24,9
"2017-01-25",2017,"January",25,4
"2017-01-26",2017,"January",26,6
"2017-01-27",2017,"January",27,5
"2017-01-28",2017,"January",28,2
"2017-01-29",2017,"January",29,7
"2017-01-30",2017,"January",30,11
"2017-01-31",2017,"January",31,9
"2017-02-01",2017,"February",01,10
"2017-02-02",2017,"February",02,7
"2017-02-03",2017,"February",03,2
"2017-02-04",2017,"February",04,6
"2017-02-05",2017,"February",05,4
"2017-02-06",2017,"February",6,0
"2017-02-07",2017,"February",07,12
"2017-02-08",2017,"February",08,9
"2017-02-09",2017,"February",09,6
"2017-02-10",2017,"February",10,6
"2017-02-11",2017,"February",11,4
"2017-02-12",2017,"February",12,12
"2017-02-13",2017,"February",13,4
"2017-02-14",2017,"February",14,3
"2017-02-15",2017,"February",15,1
"2017-02-16",2017,"February",16,0
"2017-02-17",2017,"February",17,2
"2017-02-18",2017,"February",18,0
"2017-02-19",2017,"February",19,1
"2017-02-20",2017,"February",20,4
"2017-02-21",2017,"February",21,3
"2017-02-22",2017,"February",22,0
"2017-02-23",2017,"February",23,0
"2017-02-24",2017,"February",24,1
"2017-02-25",2017,"February",25,0
"2017-02-26",2017,"February",26,1
"2017-02-27",2017,"February",27,0
"2017-02-28",2017,"February",28,1
"2017-03-01",2017,"March",01,1
"2017-03-02",2017,"March",2,0
"2017-03-03",2017,"March",03,2
"2017-03-04",2017,"March",04,1
"2017-03-05",2017,"March",05,2
"2017-03-06",2017,"March",06,5
"2017-03-07",2017,"March",07,1
"2017-03-08",2017,"March",8,0
"2017-03-09",2017,"March",9,0
"2017-03-10",2017,"March",10,1
"2017-03-11",2017,"March",11,1
"2017-03-12",2017,"March",12,36
"2017-03-13",2017,"March",13,0
"2017-03-14",2017,"March",14,1
"2017-03-15",2017,"March",15,1
"2017-03-16",2017,"March",16,3
"2017-03-17",2017,"March",17,1
"2017-03-18",2017,"March",18,1
"2017-03-19",2017,"March",19,0
"2017-03-20",2017,"March",20,1
"2017-03-21",2017,"March",21,6
"2017-03-22",2017,"March",22,2
"2017-03-23",2017,"March",23,3
"2017-03-24",2017,"March",24,1
"2017-03-25",2017,"March",25,3
"2017-03-26",2017,"March",26,0
"2017-03-27",2017,"March",27,0
"2017-03-28",2017,"March",28,4
"2017-03-29",2017,"March",29,0
"2017-03-30",2017,"March",30,6
"2017-03-31",2017,"March",31,0
