"date","year","month","day","total_downloads"
"2017-01-11",2017,"January",11,90
"2017-01-12",2017,"January",12,466
"2017-01-13",2017,"January",13,151
"2017-01-14",2017,"January",14,112
"2017-01-15",2017,"January",15,52
"2017-01-16",2017,"January",16,35
"2017-01-17",2017,"January",17,23
"2017-01-18",2017,"January",18,37
"2017-01-19",2017,"January",19,23
"2017-01-20",2017,"January",20,10
"2017-01-21",2017,"January",21,9
"2017-01-22",2017,"January",22,14
"2017-01-23",2017,"January",23,13
"2017-01-24",2017,"January",24,10
"2017-01-25",2017,"January",25,7
"2017-01-26",2017,"January",26,6
"2017-01-27",2017,"January",27,7
"2017-01-28",2017,"January",28,2
"2017-01-29",2017,"January",29,5
"2017-01-30",2017,"January",30,7
"2017-01-31",2017,"January",31,10
"2017-02-01",2017,"February",01,6
"2017-02-02",2017,"February",02,9
"2017-02-03",2017,"February",03,14
"2017-02-04",2017,"February",04,5
"2017-02-05",2017,"February",05,4
"2017-02-06",2017,"February",06,2
"2017-02-07",2017,"February",07,11
"2017-02-08",2017,"February",08,5
"2017-02-09",2017,"February",09,5
"2017-02-10",2017,"February",10,8
"2017-02-11",2017,"February",11,6
"2017-02-12",2017,"February",12,11
"2017-02-13",2017,"February",13,2
"2017-02-14",2017,"February",14,3
"2017-02-15",2017,"February",15,3
"2017-02-16",2017,"February",16,0
"2017-02-17",2017,"February",17,9
"2017-02-18",2017,"February",18,0
"2017-02-19",2017,"February",19,2
"2017-02-20",2017,"February",20,0
"2017-02-21",2017,"February",21,4
"2017-02-22",2017,"February",22,0
"2017-02-23",2017,"February",23,2
"2017-02-24",2017,"February",24,1
"2017-02-25",2017,"February",25,1
"2017-02-26",2017,"February",26,1
"2017-02-27",2017,"February",27,5
"2017-02-28",2017,"February",28,3
"2017-03-01",2017,"March",1,0
"2017-03-02",2017,"March",02,1
"2017-03-03",2017,"March",03,7
"2017-03-04",2017,"March",04,1
"2017-03-05",2017,"March",05,4
"2017-03-06",2017,"March",06,4
"2017-03-07",2017,"March",07,2
"2017-03-08",2017,"March",8,0
"2017-03-09",2017,"March",9,0
"2017-03-10",2017,"March",10,2
"2017-03-11",2017,"March",11,2
"2017-03-12",2017,"March",12,32
"2017-03-13",2017,"March",13,1
"2017-03-14",2017,"March",14,2
"2017-03-15",2017,"March",15,0
"2017-03-16",2017,"March",16,3
"2017-03-17",2017,"March",17,0
"2017-03-18",2017,"March",18,2
"2017-03-19",2017,"March",19,0
"2017-03-20",2017,"March",20,2
"2017-03-21",2017,"March",21,3
"2017-03-22",2017,"March",22,4
"2017-03-23",2017,"March",23,1
"2017-03-24",2017,"March",24,0
"2017-03-25",2017,"March",25,3
"2017-03-26",2017,"March",26,2
"2017-03-27",2017,"March",27,0
"2017-03-28",2017,"March",28,1
"2017-03-29",2017,"March",29,2
"2017-03-30",2017,"March",30,2
"2017-03-31",2017,"March",31,0
