"date","year","month","day","total_downloads"
"2017-02-17",2017,"February",17,367
"2017-02-18",2017,"February",18,279
"2017-02-19",2017,"February",19,108
"2017-02-20",2017,"February",20,75
"2017-02-21",2017,"February",21,41
"2017-02-22",2017,"February",22,25
"2017-02-23",2017,"February",23,12
"2017-02-24",2017,"February",24,10
"2017-02-25",2017,"February",25,18
"2017-02-26",2017,"February",26,15
"2017-02-27",2017,"February",27,7
"2017-02-28",2017,"February",28,4
"2017-03-01",2017,"March",01,6
"2017-03-02",2017,"March",02,4
"2017-03-03",2017,"March",03,7
"2017-03-04",2017,"March",04,3
"2017-03-05",2017,"March",05,6
"2017-03-06",2017,"March",06,5
"2017-03-07",2017,"March",07,8
"2017-03-08",2017,"March",08,4
"2017-03-09",2017,"March",09,3
"2017-03-10",2017,"March",10,16
"2017-03-11",2017,"March",11,3
"2017-03-12",2017,"March",12,11
"2017-03-13",2017,"March",13,5
"2017-03-14",2017,"March",14,12
"2017-03-15",2017,"March",15,4
"2017-03-16",2017,"March",16,6
"2017-03-17",2017,"March",17,4
"2017-03-18",2017,"March",18,4
"2017-03-19",2017,"March",19,5
"2017-03-20",2017,"March",20,7
"2017-03-21",2017,"March",21,13
"2017-03-22",2017,"March",22,6
"2017-03-23",2017,"March",23,3
"2017-03-24",2017,"March",24,7
"2017-03-25",2017,"March",25,2
"2017-03-26",2017,"March",26,5
"2017-03-27",2017,"March",27,4
"2017-03-28",2017,"March",28,2
"2017-03-29",2017,"March",29,7
"2017-03-30",2017,"March",30,6
"2017-03-31",2017,"March",31,1
