"date","year","month","day","total_downloads"
"2017-02-20",2017,"February",20,522
"2017-02-21",2017,"February",21,104
"2017-02-22",2017,"February",22,42
"2017-02-23",2017,"February",23,34
"2017-02-24",2017,"February",24,19
"2017-02-25",2017,"February",25,21
"2017-02-26",2017,"February",26,17
"2017-02-27",2017,"February",27,13
"2017-02-28",2017,"February",28,6
"2017-03-01",2017,"March",01,10
"2017-03-02",2017,"March",02,6
"2017-03-03",2017,"March",03,12
"2017-03-04",2017,"March",04,6
"2017-03-05",2017,"March",05,8
"2017-03-06",2017,"March",06,11
"2017-03-07",2017,"March",07,5
"2017-03-08",2017,"March",08,7
"2017-03-09",2017,"March",09,3
"2017-03-10",2017,"March",10,33
"2017-03-11",2017,"March",11,7
"2017-03-12",2017,"March",12,15
"2017-03-13",2017,"March",13,5
"2017-03-14",2017,"March",14,3
"2017-03-15",2017,"March",15,7
"2017-03-16",2017,"March",16,4
"2017-03-17",2017,"March",17,4
"2017-03-18",2017,"March",18,6
"2017-03-19",2017,"March",19,5
"2017-03-20",2017,"March",20,11
"2017-03-21",2017,"March",21,13
"2017-03-22",2017,"March",22,12
"2017-03-23",2017,"March",23,4
"2017-03-24",2017,"March",24,8
"2017-03-25",2017,"March",25,1
"2017-03-26",2017,"March",26,8
"2017-03-27",2017,"March",27,5
"2017-03-28",2017,"March",28,3
"2017-03-29",2017,"March",29,7
"2017-03-30",2017,"March",30,24
"2017-03-31",2017,"March",31,1
