"date","year","month","day","total_downloads"
"2017-02-22",2017,"February",22,613
"2017-02-23",2017,"February",23,216
"2017-02-24",2017,"February",24,104
"2017-02-25",2017,"February",25,119
"2017-02-26",2017,"February",26,110
"2017-02-27",2017,"February",27,44
"2017-02-28",2017,"February",28,30
"2017-03-01",2017,"March",01,36
"2017-03-02",2017,"March",02,36
"2017-03-03",2017,"March",03,27
"2017-03-04",2017,"March",04,29
"2017-03-05",2017,"March",05,71
"2017-03-06",2017,"March",06,55
"2017-03-07",2017,"March",07,38
"2017-03-08",2017,"March",08,37
"2017-03-09",2017,"March",09,13
"2017-03-10",2017,"March",10,14
"2017-03-11",2017,"March",11,45
"2017-03-12",2017,"March",12,21
"2017-03-13",2017,"March",13,8
"2017-03-14",2017,"March",14,13
"2017-03-15",2017,"March",15,24
"2017-03-16",2017,"March",16,18
"2017-03-17",2017,"March",17,33
"2017-03-18",2017,"March",18,9
"2017-03-19",2017,"March",19,8
"2017-03-20",2017,"March",20,9
"2017-03-21",2017,"March",21,22
"2017-03-22",2017,"March",22,17
"2017-03-23",2017,"March",23,11
"2017-03-24",2017,"March",24,18
"2017-03-25",2017,"March",25,7
"2017-03-26",2017,"March",26,12
"2017-03-27",2017,"March",27,10
"2017-03-28",2017,"March",28,6
"2017-03-29",2017,"March",29,35
"2017-03-30",2017,"March",30,9
"2017-03-31",2017,"March",31,1
