"date","year","month","day","total_downloads"
"2017-03-07",2017,"March",07,629
"2017-03-08",2017,"March",08,225
"2017-03-09",2017,"March",09,123
"2017-03-10",2017,"March",10,83
"2017-03-11",2017,"March",11,82
"2017-03-12",2017,"March",12,41
"2017-03-13",2017,"March",13,23
"2017-03-14",2017,"March",14,14
"2017-03-15",2017,"March",15,18
"2017-03-16",2017,"March",16,18
"2017-03-17",2017,"March",17,16
"2017-03-18",2017,"March",18,11
"2017-03-19",2017,"March",19,13
"2017-03-20",2017,"March",20,14
"2017-03-21",2017,"March",21,17
"2017-03-22",2017,"March",22,11
"2017-03-23",2017,"March",23,8
"2017-03-24",2017,"March",24,10
"2017-03-25",2017,"March",25,6
"2017-03-26",2017,"March",26,9
"2017-03-27",2017,"March",27,6
"2017-03-28",2017,"March",28,35
"2017-03-29",2017,"March",29,17
"2017-03-30",2017,"March",30,7
"2017-03-31",2017,"March",31,1
