"country_name","total_downloads"
"United Arab Emirates",87
"Antigua and Barbuda",3
"Asia/Pacific Region",1
"Argentina",61
"Austria",104
"Australia",772
"Azerbaijan",53
"Bosnia and Herzegovina",1
"Barbados",34
"Bangladesh",1
"Belgium",63
"Bulgaria",43
"Bahrain",3
"Bolivia",2
"Brazil",291
"Bhutan",1
"Belarus",2
"Canada",875
"Switzerland",190
"Chile",85
"China",550
"Colombia",22
"Costa Rica",69
"Cuba",2
"Cyprus",1
"Czech Republic",35
"Germany",617
"Denmark",46
"Dominican Republic",19
"Algeria",6
"Estonia",56
"Egypt",2
"Spain",190
"Europe",1
"Finland",103
"France",213
"United Kingdom",1479
"Georgia",6
"Guernsey",2
"Gibraltar",6
"Greece",37
"Guatemala",7
"Guam",4
"Hong Kong",54
"Croatia",22
"Hungary",5
"Indonesia",22
"Ireland",103
"Israel",46
"Isle of Man",2
"India",529
"Iceland",10
"Italy",163
"Jamaica",2
"Japan",285
"Kenya",77
"Kyrgyzstan",12
"Cambodia",9
"Korea, Republic of",68
"Kuwait",1
"Kazakhstan",1
"Liberia",2
"Lithuania",11
"Luxembourg",6
"Latvia",49
"Morocco",9
"Monaco",25
"Moldova, Republic of",3
"Macedonia",2
"Martinique",1
"Mexico",120
"Malaysia",25
"Nigeria",115
"Nicaragua",30
"Netherlands",249
"Norway",182
"New Zealand",84
"Oman",1
"Panama",2
"Peru",3
"Philippines",36
"Pakistan",7
"Poland",31
"Puerto Rico",17
"Portugal",14
"Qatar",1
"Reunion",1
"Romania",51
"Serbia",9
"Russian Federation",40
"Rwanda",1
"Saudi Arabia",21
"Seychelles",1
"Sweden",326
"Singapore",130
"Slovenia",71
"Slovakia",27
"Suriname",1
"El Salvador",5
"Sint Maarten (Dutch part)",1
"Thailand",59
"Tunisia",1
"Turkey",8
"Trinidad and Tobago",12
"Taiwan",24
"Tanzania, United Republic of",158
"Ukraine",5
"Venezuela",9
"Virgin Islands, British",2
"Vietnam",15
"South Africa",118
"Zimbabwe",1
