"date","total_downloads"
"2017-07-16",1269
"2017-07-15",1508
"2017-07-14",2970
"2017-07-13",2095
"2017-07-12",3791
"2017-07-11",2436
"2017-07-10",2805
"2017-07-09",2399
"2017-07-08",1034
"2017-07-07",1892
"2017-07-06",2513
"2017-07-05",1808
"2017-07-04",2143
"2017-07-03",1925
"2017-07-02",2633
"2017-07-01",2081
"2017-06-30",1004
"2017-06-29",1168
"2017-06-28",1964
"2017-06-27",2544
"2017-06-26",1964
"2017-06-25",2672
"2017-06-24",1315
"2017-06-23",1738
"2017-06-22",3683
"2017-06-21",3542
"2017-06-20",3511
"2017-06-19",2204
"2017-06-18",2255
"2017-06-17",1709
