,release_date,title,downloads,show,color
283,2015-06-01,Episode #1 - Introduction,3434.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
282,2015-06-07,TBP02 - Holding Up the Sky,2739.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
281,2015-06-15,TBP03 - Bridging the Gender Gap,2562.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
280,2015-06-20,TBP04 - Change Jar 2.0,2673.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
279,2015-06-28,TBP05 - The World's Strongest,2547.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
278,2015-07-02,TBP06 - Aboard the Pequod,2463.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
277,2015-07-06,TBP07 - Under the Iron Veil,2723.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
276,2015-07-09,TBP08 - Bitcoin For The Bottom Billion,850.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
275,2015-07-19,TBP09 - The Curious Case of Remittance,773.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
274,2015-07-24,TBP10 - Bottoms Up,684.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
273,2015-08-03,TBP11 - The End of Money,845.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
272,2015-08-08,TBP12 - Boring Economics,917.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
271,2015-08-15,TBP13 - The Greatest Truths,650.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
270,2015-08-23,TBP14 - Sex and the Single Bitcoin,816.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
269,2015-08-30,TBP15 - Ants Marching,637.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
268,2015-09-06,TBP16 - The Dual Revolution,681.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
267,2015-09-13,TBP17 - Oiling the Squeaky Wheel,713.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
266,2015-09-20,TBP18 - From Cradle to Grave,621.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
265,2015-09-27,TBP19 - Branding the Disruptive,657.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
264,2015-10-01,TBP20 - Bottoms Up 2,674.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
263,2015-10-10,TBP21 - Call For Papers,616.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
262,2015-10-15,TBP22 - Vote With Your Feet,583.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
261,2015-10-25,"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World",620.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
260,2015-11-01,TBP24 - Betting On Bitcoin,963.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
259,2015-11-08,TBP25 - The $199 Incentive,655.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
258,2015-11-15,TBP26 - Change Jar 3.0,732.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
257,2015-11-22,TBP27 - London Calling,797.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
256,2015-11-29,TBP28 - Modern Day Gold Rush,822.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
255,2015-12-06,TBP29 - Take the Power Back,875.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
254,2015-12-13,TBP30 - Bottoms Up 3,718.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
253,2015-12-20,TBP31 - Off the Transparency Chain,726.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
252,2015-12-27,TBP32 - The Marketing Blueprint,983.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
251,2016-01-02,TBP33 - Canadian Bitcoin Scenario,911.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
250,2016-01-09,"TBP34 - 20,000 Lines Under the Code",1032.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
249,2016-01-16,TBP35 - Disruption or Disconnect,1300.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
248,2016-01-23,TBP36 - Bakesales for Bombers,757.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
247,2016-01-30,TBP37 - Bitcoining with The BasedGod,972.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
246,2016-02-01,TBP38 - Assumption of Trust,853.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
245,2016-02-07,TBP39 - Running the Gamut,1078.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
244,2016-02-13,TBP40 - A Conservative Trillion,1494.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
243,2016-02-18,TBP41 - Making Inroads With Merchants,853.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
242,2016-02-21,TBP42 - True Micropayments,1088.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
241,2016-02-27,TBP43 - The Mystery of Capital,967.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
