name,streams,listeners
Apple Podcasts (iOS),5414,2193
Overcast,1916,1274
PodcastAddict,1544,1029
Apple Podcasts (iPhone),1277,1064
Pocket Casts,1041,496
Breaker,569,118
iTunes (Windows),493,241
Google Podcasts (Android),412,345
Apple Podcasts (Watch),345,332
Apple Podcasts (MacOS),318,76
CastBox,230,149
Player FM,140,101
AntennaPod,118,91
DoggCatcher,77,59
CastBox (Android),68,54
Apple Podcasts (Mac),66,58
RSS Radio,54,39
Downcast,52,33
Apple Podcasts (iPad),30,27
iVoox,29,11
小宇宙,26,18
CastBox (iOS),21,19
Google Podcasts (iOS),18,16
PodcastRepublic,17,15
Podbean,17,15
BeyondPod,16,12
Podkicker Pro,14,11
Castro,12,9
Fountain,4,4
Alexa-enabled device,3,3
Google Search App,3,3
Apple Podcasts (HomePod),3,2
Amazon Music Podcasts,2,2
Himalaya,2,2
Mixerbox,2,2
MusicBee,2,2
VLC media player,2,1
Chromecast device,1,1
Luminary (Android),1,1
PodKast app,1,1
