name,streams,listeners
US,12924,6544
GB,1074,700
CA,825,533
DE,772,591
AU,512,349
SE,373,227
IN,371,196
ES,348,236
NL,298,198
FR,278,171
JP,268,117
BE,259,94
HK,255,131
IT,215,116
PT,197,150
RU,194,63
SG,188,155
PL,173,126
IE,170,77
TW,154,114
MX,152,88
CH,145,114
KE,110,66
ID,103,83
DK,95,52
VN,90,70
BR,81,65
PR,79,53
AR,78,43
NZ,76,36
AT,74,58
NG,68,51
TR,66,55
ZA,66,53
BG,64,34
LT,63,34
RO,57,32
CN,53,39
TH,52,30
NO,52,44
MC,49,14
FI,49,42
KR,41,27
AE,41,34
LU,41,24
JO,40,6
UA,40,24
RS,40,36
IL,37,29
GR,36,21
SI,33,11
EE,33,16
MA,30,21
HR,30,18
CZ,29,20
JE,20,17
EC,19,2
MY,18,15
KH,17,15
IR,16,12
MK,14,13
CO,13,12
PH,12,11
KZ,12,11
BB,11,3
HU,9,6
HN,8,3
UY,8,8
LB,8,4
DO,7,7
MT,7,7
VI,7,5
GU,6,6
GT,5,5
SC,5,4
BD,5,5
QA,5,4
IS,4,3
PG,4,1
SH,4,1
ZW,4,3
LI,4,3
AD,3,1
AG,3,2
AL,3,2
JM,3,2
SA,3,3
SK,3,3
BN,3,2
BA,3,3
BY,2,2
CL,2,2
CR,2,1
DZ,2,2
EG,2,2
GD,2,2
GI,2,2
KY,2,2
LK,2,2
MD,2,2
MN,2,2
VG,2,2
CY,2,2
ET,2,2
GG,2,2
AF,1,1
CM,1,1
FJ,1,1
GE,1,1
GH,1,1
IM,1,1
LV,1,1
PE,1,1
PK,1,1
TJ,1,1
TN,1,1
TZ,1,1
VE,1,1
