"user_agent","total_downloads"
"Samsung SAMSUNG-SM-G",24
"Safari",110
"NSPlayer",1
"excon",1
"itunesstored",4
"RSSRadio",8
"PodcastAddict",69
"Chrome",191
"facebookexternalhit",2
"Overcast",171
"Mozilla",52
"AppleCoreMedia",572
"Downcast",14
"PodCruncher",1
"Lavf",2
"iTunes",51
"Pocket Casts",73
"okhttp",156
"StitcherBot",218
"Podkicker Pro",1
"Player FM",30
"CastBox",2
"AntennaPod",7
"Instacast",2
"Firefox",24
"Castro",1
"stagefright",2
"Podbean",3
"EMAudioPlayer",10
"Samsung SAMSUNG-SGH-I",7
"AndroidDownloadManager",3
"Podkicker",2
"Samsung SM-G",6
"Acast",2
"Samsung SM-N",2
"Dalvik",1
"FDM",1
"gPodder",1
"Wget",1
