"user_agent","total_downloads"
"Podkicker",2
"Samsung SPH-L",1
"Chrome",117
"AppleCoreMedia",210
"Downcast",12
"facebookexternalhit",2
"Mozilla",45
"okhttp",143
"Overcast",108
"Pocket Casts",54
"RSSRadio",3
"Lavf",1
"PodcastAddict",50
"iTunes",43
"StitcherBot",1
"Stitcher",73
"CastBox",1
"Safari",24
"Instacast",2
"Podbean",1
"PodCruncher",1
"Podkicker Pro",2
"Player FM",23
"excon",1
"AntennaPod",3
"Firefox",11
"Samsung SM-N",21
"Samsung SCH-I",1
"Dalvik",3
"itunesstored",3
"AndroidDownloadManager",1
"stagefright",4
"gPodder",1
"Castro",1
"Samsung SM-G",12
"MSIE",2
"Samsung SAMSUNG-SGH-I",1
"LG-H",1
"Wget",1
"Podcast Addict - Dalvik",1
