"user_agent","total_downloads"
"Samsung SM-G",3
"iTunes",38
"facebookexternalhit",2
"okhttp",127
"Overcast",116
"PodcastAddict",52
"Mozilla",51
"Downcast",13
"RSSRadio",5
"Pocket Casts",54
"Chrome",166
"Player FM",17
"AppleCoreMedia",275
"Podbean",3
"Dalvik",9
"Instacast",2
"Samsung SCH-I",2
"itunesstored",4
"StitcherBot",1
"Acast",17
"Stitcher",74
"AntennaPod",3
"MSIE",1
"excon",1
"Firefox",18
"Safari",79
"AndroidDownloadManager",1
"Downloads",1
"stagefright",4
"Samsung SM-T",1
"Samsung SAMSUNG-SGH-I",1
"Podkicker",2
"Samsung SPH-L",1
"Samsung SM-N",1
"Wget",1
"Samsung SAMSUNG-SM-N",10
