"region","total_downloads"
"Unknown",229
", Anonymous Proxy",1032
", United Arab Emirates",3
"Abu Dhabi, United Arab Emirates",61
"Dubai, United Arab Emirates",20
"Sharjah, United Arab Emirates",3
", Antigua and Barbuda",1
"Saint John, Antigua and Barbuda",2
", Asia/Pacific Region",1
", Argentina",11
"Buenos Aires, Argentina",8
"Cordoba, Argentina",6
"Distrito Federal, Argentina",36
", Austria",23
"Niederosterreich, Austria",2
"Oberosterreich, Austria",58
"Salzburg, Austria",6
"Tirol, Austria",7
"Wien, Austria",8
", Australia",174
"Australian Capital Territory, Australia",2
"New South Wales, Australia",102
"Northern Territory, Australia",1
"Queensland, Australia",259
"South Australia, Australia",17
"Victoria, Australia",158
"Western Australia, Australia",59
", Azerbaijan",1
"Baki, Azerbaijan",52
"Republika Srpska, Bosnia and Herzegovina",1
"Saint George, Barbados",9
"Saint James, Barbados",1
"Saint Michael, Barbados",23
"Saint Philip, Barbados",1
"Dhaka, Bangladesh",1
", Belgium",21
"Antwerpen, Belgium",11
"Hainaut, Belgium",2
"Liege, Belgium",2
"Limburg, Belgium",1
"Oost-Vlaanderen, Belgium",11
"Brabant Wallon, Belgium",2
"Brussels Hoofdstedelijk Gewest, Belgium",7
"Vlaams-Brabant, Belgium",6
", Bulgaria",11
"Blagoevgrad, Bulgaria",8
"Grad Sofiya, Bulgaria",23
"Ruse, Bulgaria",1
", Bahrain",3
"El Beni, Bolivia",2
", Brazil",28
"Distrito Federal, Brazil",27
"Mato Grosso do Sul, Brazil",1
"Minas Gerais, Brazil",4
"Parana, Brazil",3
"Rio de Janeiro, Brazil",8
"Rio Grande do Sul, Brazil",17
"Santa Catarina, Brazil",1
"Sao Paulo, Brazil",201
"Goias, Brazil",1
"Thimphu, Bhutan",1
"Minsk, Belarus",2
", Canada",40
"Alberta, Canada",62
"British Columbia, Canada",223
"Manitoba, Canada",7
"New Brunswick, Canada",4
"Nova Scotia, Canada",11
"Ontario, Canada",444
"Quebec, Canada",82
"Saskatchewan, Canada",2
", Switzerland",35
"Aargau, Switzerland",3
"Basel-Stadt, Switzerland",5
"Bern, Switzerland",2
"Fribourg, Switzerland",9
"Geneve, Switzerland",33
"Glarus, Switzerland",3
"Luzern, Switzerland",1
"Sankt Gallen, Switzerland",22
