"date","total_downloads"
"2017-12-26",4555
"2017-12-25",2756
"2017-12-24",4865
"2017-12-23",3523
"2017-12-22",8676
"2017-12-21",4907
"2017-12-20",3949
"2017-12-19",8192
"2017-12-18",4788
"2017-12-17",3950
"2017-12-16",2227
"2017-12-15",1967
"2017-12-14",2733
"2017-12-13",3412
"2017-12-12",5672
"2017-12-11",10453
"2017-12-10",7227
"2017-12-09",4728
"2017-12-08",4234
"2017-12-07",2557
"2017-12-06",3504
"2017-12-05",4383
"2017-12-04",3890
"2017-12-03",3497
"2017-12-02",1847
"2017-12-01",3628
"2017-11-30",6439
"2017-11-29",4940
"2017-11-28",3112
"2017-11-27",4891
"2017-11-26",3858
"2017-11-25",1202
"2017-11-24",2459
"2017-11-23",2262
"2017-11-22",2616
"2017-11-21",2647
"2017-11-20",4322
"2017-11-19",4034
"2017-11-18",1688
"2017-11-17",2390
"2017-11-16",3081
"2017-11-15",3987
"2017-11-14",1978
"2017-11-13",3491
"2017-11-12",1460
"2017-11-11",986
"2017-11-10",1281
"2017-11-09",1345
"2017-11-08",1507
"2017-11-07",2490
"2017-11-06",3292
"2017-11-05",3882
"2017-11-04",1906
"2017-11-03",4369
"2017-11-02",1615
"2017-11-01",1782
"2017-10-31",2944
"2017-10-30",2412
"2017-10-29",3008
"2017-10-28",2779
"2017-10-27",4682
"2017-10-26",3044
"2017-10-25",1410
"2017-10-24",1689
"2017-10-23",3030
"2017-10-22",3857
"2017-10-21",1623
"2017-10-20",2395
"2017-10-19",1257
"2017-10-18",1753
"2017-10-17",4591
"2017-10-16",3740
"2017-10-15",2572
"2017-10-14",2483
"2017-10-13",935
"2017-10-12",1270
"2017-10-11",1494
"2017-10-10",1538
"2017-10-09",2999
"2017-10-08",2456
"2017-10-07",2498
"2017-10-06",3264
"2017-10-05",4823
"2017-10-04",3611
"2017-10-03",3522
"2017-10-02",3945
"2017-10-01",2209
