downloads_percent,downloads_total,interval
0.0,1,2019-02-12
0.00115,2377,2019-02-13
0.00169,3485,2019-02-14
0.0019,3917,2019-02-15
0.00339,6989,2019-02-16
0.00296,6102,2019-02-17
0.00276,5698,2019-02-18
0.00316,6520,2019-02-19
0.00139,2859,2019-02-20
0.0015,3095,2019-02-21
0.00247,5084,2019-02-22
0.00132,2715,2019-02-23
0.00194,4007,2019-02-24
0.00172,3551,2019-02-25
0.00166,3429,2019-02-26
0.00177,3643,2019-02-27
0.00119,2464,2019-02-28
0.00104,2138,2019-03-01
0.00162,3338,2019-03-02
0.00168,3457,2019-03-03
0.00179,3691,2019-03-04
0.00139,2859,2019-03-05
0.001,2064,2019-03-06
0.00077,1587,2019-03-07
0.00081,1677,2019-03-08
0.00136,2815,2019-03-09
0.00169,3493,2019-03-10
0.00189,3908,2019-03-11
0.00178,3676,2019-03-12
0.00144,2979,2019-03-13
0.0012,2485,2019-03-14
0.00098,2026,2019-03-15
0.00138,2842,2019-03-16
0.00189,3900,2019-03-17
0.00172,3552,2019-03-18
0.00192,3964,2019-03-19
0.00125,2588,2019-03-20
0.00075,1555,2019-03-21
0.00091,1883,2019-03-22
0.00167,3445,2019-03-23
0.00212,4364,2019-03-24
0.00302,6233,2019-03-25
0.00121,2487,2019-03-26
0.00102,2103,2019-03-27
0.00097,1994,2019-03-28
0.00105,2168,2019-03-29
0.00111,2283,2019-03-30
0.00184,3797,2019-03-31
0.00266,5484,2019-04-01
0.0021,4341,2019-04-02
0.00058,1189,2019-04-03
0.00128,2644,2019-04-04
0.0016,3297,2019-04-05
0.00068,1405,2019-04-06
0.00151,3116,2019-04-07
0.00201,4137,2019-04-08
0.00275,5676,2019-04-09
0.00165,3401,2019-04-10
0.00204,4213,2019-04-11
0.00133,2739,2019-04-12
0.00131,2711,2019-04-13
0.00219,4509,2019-04-14
0.00126,2601,2019-04-15
0.00109,2247,2019-04-16
0.00101,2081,2019-04-17
0.0013,2687,2019-04-18
0.00202,4170,2019-04-19
0.00146,3015,2019-04-20
0.00069,1421,2019-04-21
0.00104,2152,2019-04-22
0.00249,5144,2019-04-23
0.00105,2171,2019-04-24
0.00081,1670,2019-04-25
0.0018,3706,2019-04-26
0.00133,2737,2019-04-27
0.00096,1990,2019-04-28
0.00162,3347,2019-04-29
0.00175,3605,2019-04-30
0.0009,1862,2019-05-01
0.00061,1249,2019-05-02
0.00035,716,2019-05-03
0.00051,1042,2019-05-04
0.00162,3344,2019-05-05
0.00198,4084,2019-05-06
0.00088,1823,2019-05-07
0.00173,3578,2019-05-08
0.00152,3142,2019-05-09
0.00186,3837,2019-05-10
0.00063,1296,2019-05-11
0.00057,1178,2019-05-12
0.00155,3202,2019-05-13
0.00099,2032,2019-05-14
0.00157,3237,2019-05-15
0.00066,1368,2019-05-16
0.00132,2729,2019-05-17
0.00064,1318,2019-05-18
0.00058,1201,2019-05-19
0.0009,1857,2019-05-20
0.0019,3928,2019-05-21
0.00166,3426,2019-05-22
