"item_title","release_date","downloads__january","downloads__december","downloads__november","downloads__total"
"TBP Announcements: ZeroSum Markets","2018-01-03 03:07:27",3304,0,0,3304
"TBP175 - Superconferencing","2017-12-31 05:20:20",2897,2246,0,5143
"NABP #13: Peter Saddington","2017-12-27 20:16:04",802,4889,0,5691
"An Ethereum Podcast: Episode #10","2017-12-26 14:46:48",626,5156,0,5782
"TBP174 - Determining the Reliability of Sources","2017-12-23 18:03:54",351,5322,0,5673
"TBP Announcements: Bluezelle","2017-12-22 04:21:34",218,4005,0,4223
"NABP #12: Jimmy Song","2017-12-21 15:53:28",327,5461,0,5788
"TBP173 - Surprising Insights","2017-12-21 15:27:11",244,5583,0,5827
"An Ethereum Podcast: Episode #9","2017-12-19 14:41:07",175,5758,0,5933
"BlockChannel Episode 35: Deciphering What’s New, with NuCypher","2017-12-19 01:39:53",187,4793,0,4980
"TBP172 - Life After Silicon Valley","2017-12-17 18:58:08",222,6397,0,6619
"Monero Monitor: Mimblewimble with Andrew Poelstra","2017-12-11 14:35:52",150,8588,0,8738
"An Ethereum Podcast: Episode #8","2017-12-10 14:23:50",94,5594,0,5688
"TBP171 - The Future of Giving","2017-12-09 19:40:43",128,5004,0,5132
"TBP Announcements: LoyalCoin","2017-12-09 18:06:06",117,4837,0,4954
"Buy or Sell, What the Hell #5","2017-12-09 16:21:38",141,6205,0,6346
"TBP Announcements: CoinFi","2017-12-08 15:50:50",88,4718,0,4806
"An Ethereum Podcast: Episode #7","2017-12-05 16:37:02",84,6895,0,6979
"TBP170 - A New Kind of Legal","2017-12-03 14:58:36",83,6395,0,6478
"An Ethereum Podcast: Episode #6","2017-11-30 14:08:10",91,4542,2036,6669
"TBP Announcements: Crowd Machine","2017-11-30 13:23:53",56,2342,1609,4007
"TBP169 - Monetary Revolution","2017-11-27 02:56:13",73,2389,3724,6186
"TBP Announcements: Coinfirm","2017-11-27 02:51:51",53,1132,3601,4786
"TBP168 - Passion, Pain & Unicorn Slayin'","2017-11-26 05:35:45",48,1291,4798,6137
"BlockChannel Episode 34: Developers Developers Developers, with Zastrin.com","2017-11-23 19:10:49",45,898,3884,4827
"TBP Announcements: Simple Token","2017-11-19 22:12:40",36,708,3912,4656
"TBP167 - The Broader Economy III","2017-11-19 13:52:29",65,1115,5977,7157
"TBP Announcements: Quantstamp","2017-11-16 16:00:09",34,632,3792,4458
"TBP Announcements: Globitex","2017-11-15 03:54:35",37,637,3854,4528
"TBP166 - ATMs and ICOs","2017-11-12 23:08:43",45,706,5468,6219
"Devcon3: Recap Part 2","2017-11-05 14:54:24",38,438,5612,6088
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",45,547,4140,4732
"Devcon3: Recap Part 1","2017-11-03 01:13:35",43,456,4791,5290
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",34,377,2775,4948
"TBP163 - Savings and Savior","2017-10-29 03:38:25",32,349,1224,4410
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",37,468,1510,5253
