"Item Id","Title","Released","Downloads"
"3587444","Episode #1 - Introduction","06/01/15","63"
"3601738","TBP02 - Holding Up the Sky","06/07/15","26"
"3615157","TBP03 - Bridging the Gender Gap","06/15/15","20"
"3626947","TBP04 - Change Jar 2.0","06/20/15","16"
"3643177","TBP05 - The World's Strongest","06/28/15","15"
"3652151","TBP06 - Aboard the Pequod","07/02/15","13"
"3658304","TBP07 - Under the Iron Veil","07/06/15","18"
"3665806","TBP08 - Bitcoin For The Bottom Billion","07/09/15","16"
"3683210","TBP09 - The Curious Case of Remittance","07/19/15","15"
"3693919","TBP10 - Bottoms Up","07/24/15","13"
"3712120","TBP11 - The End of Money","08/03/15","14"
"3722598","TBP12 - Boring Economics","08/08/15","19"
"3738019","TBP13 - The Greatest Truths","08/15/15","13"
"3753338","TBP14 - Sex and the Single Bitcoin","08/23/15","14"
"3767520","TBP15 - Ants Marching","08/30/15","12"
"3782254","TBP16 - The Dual Revolution","09/06/15","13"
"3795750","TBP17 - Oiling the Squeaky Wheel","09/13/15","11"
"3810427","TBP18 - From Cradle to Grave","09/20/15","11"
"3824811","TBP19 - Branding the Disruptive","09/27/15","12"
"3835124","TBP20 - Bottoms Up 2","10/01/15","12"
"3853199","TBP21 - Call For Papers","10/10/15","10"
"3865129","TBP22 - Vote With Your Feet","10/15/15","17"
"3886966","TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","10/25/15","11"
"3908295","TBP24 - Betting On Bitcoin","11/01/15","24"
"3928842","TBP25 - The $199 Incentive","11/08/15","13"
"3950872","TBP26 - Change Jar 3.0","11/15/15","11"
"3967847","TBP27 - London Calling","11/22/15","11"
"3982663","TBP28 - Modern Day Gold Rush","11/29/15","10"
"3998413","TBP29 - Take the Power Back","12/06/15","9"
"4013389","TBP30 - Bottoms Up 3","12/13/15","10"
"4028521","TBP31 - Off the Transparency Chain","12/20/15","13"
"4039879","TBP32 - The Marketing Blueprint","12/27/15","11"
"4051263","TBP33 - Canadian Bitcoin Scenario","01/02/16","9"
"4065979","TBP34 - 20,000 Lines Under the Code","01/09/16","22"
"4082608","TBP35 - Disruption or Disconnect","01/16/16","16"
"4098198","TBP36 - Bakesales for Bombers","01/23/16","13"
"4113611","TBP37 - Bitcoining with The BasedGod","01/30/16","31"
"4116630","TBP38 - Assumption of Trust","02/01/16","12"
"4132185","TBP39 - Running the Gamut","02/07/16","10"
"4146421","TBP40 - A Conservative Trillion","02/13/16","14"
"4157172","TBP41 - Making Inroads With Merchants","02/18/16","10"
"4164285","TBP42 - True Micropayments","02/21/16","10"
"4179950","TBP43 - The Mystery of Capital","02/27/16","10"
"4192897","TBP44 - Who Is Bitcoin Girl?","03/03/16","14"
"4200262","TBP45 - Bitcoin Evangelism","03/06/16","22"
"4216521","TBP46 - The Fundamental Conflict","03/13/16","15"
"4233077","TBP47 - Bottoms Up 4","03/20/16","10"
"4251330","TBP48 - Inertia, My Friend!","03/27/16","9"
"4261115","TBP49 - Welterweight Gold","03/31/16","11"
"4269854","TBP50 - Not Giving a Good Got Damn","04/04/16","8"
"4284694","TBP51 - Such Wow","04/10/16","10"
