"Item Id","Title","Released","Downloads"
"3587444","Episode #1 - Introduction","06/01/15","87"
"3601738","TBP02 - Holding Up the Sky","06/07/15","18"
"3615157","TBP03 - Bridging the Gender Gap","06/15/15","5"
"3626947","TBP04 - Change Jar 2.0","06/20/15","4"
"3643177","TBP05 - The World's Strongest","06/28/15","5"
"3652151","TBP06 - Aboard the Pequod","07/02/15","3"
"3658304","TBP07 - Under the Iron Veil","07/06/15","6"
"3665806","TBP08 - Bitcoin For The Bottom Billion","07/09/15","2"
"3712120","TBP11 - The End of Money","08/03/15","2"
"3722598","TBP12 - Boring Economics","08/08/15","1"
"3908295","TBP24 - Betting On Bitcoin","11/01/15","3"
"3950872","TBP26 - Change Jar 3.0","11/15/15","1"
"3982663","TBP28 - Modern Day Gold Rush","11/29/15","1"
"3998413","TBP29 - Take the Power Back","12/06/15","4"
"4028521","TBP31 - Off the Transparency Chain","12/20/15","1"
"4039879","TBP32 - The Marketing Blueprint","12/27/15","1"
"4051263","TBP33 - Canadian Bitcoin Scenario","01/02/16","2"
"4065979","TBP34 - 20,000 Lines Under the Code","01/09/16","2"
"4082608","TBP35 - Disruption or Disconnect","01/16/16","1"
"4098198","TBP36 - Bakesales for Bombers","01/23/16","2"
"4113611","TBP37 - Bitcoining with The BasedGod","01/30/16","1"
"4300718","TBP53 - Tough Math","04/17/16","1"
"4334647","TBP56 - Exploring European Fintech","05/01/16","1"
"4339537","TBP57 - Future of a Shared Economy","05/03/16","2"
"4463386","TBP67 - Follow the LeadTuur","06/22/16","1"
"4504116","TBP71 - Bitcoin Wealth Alliance","07/10/16","1"
"4506392","TBP72 - The Broader Economy","07/11/16","8"
"4622866","TBP82 - Unifying Blockchain Tech","08/28/16","1"
"4624827","TBP83 - Lightning Network Deep Dive","08/29/16","1"
"4662839","TBP86 - Exploring Macroeconomics","09/12/16","3"
"4677301","TBP88 - Bitcoin Bike-Shed","09/19/16","1"
"4766092","TBP94 - Reputation Tokens","10/22/16","1"
"4785809","BlockChannel Episode 1: Empowering Creativity with Technology","10/29/16","1"
"4807640","TBP97 - Hype or Hope","11/06/16","1"
"4818033","TBP98 - Ubitquity Part Duex","11/09/16","2"
"4822539","BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","11/11/16","3"
"4875811","BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","12/01/16","1"
"4935270","On-Ramping with Dee: Episode #1","12/22/16","1"
"5033333","TBP112 - The Broader Economy II","01/28/17","5"
"5140262","TBP117 - Venturing Into the Web3","03/05/17","1"
"5181364","BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","03/18/17","2"
"5264865","BlockChannel Episode 18: Where You At? What’s Your Status.im?","04/14/17","1"
"5284398","BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","04/20/17","2"
