"item_title","release_date","downloads__april","downloads__march","downloads__february","downloads__total"
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",114,0,0,114
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",330,253,0,583
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",27,460,0,487
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",13,399,0,412
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",10,637,0,647
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",11,477,0,488
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",11,446,0,457
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",5,264,235,504
"TBP42 - True Micropayments","2016-02-21 23:13:15",1,98,564,663
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",0,42,418,460
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",0,100,977,1077
"TBP39 - Running the Gamut","2016-02-07 20:14:46",1,112,645,758
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",1,25,496,522
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",1,24,278,493
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",1,24,65,473
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",0,66,81,928
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",0,20,93,700
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",1,13,27,576
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",1,18,48,641
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",3,23,39,396
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",0,10,15,424
"TBP29 - Take the Power Back","2015-12-06 16:35:49",6,18,27,493
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",0,25,16,481
"TBP27 - London Calling","2015-11-22 16:30:21",0,18,17,503
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",0,17,13,451
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,5,19,386
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",1,15,19,541
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,3,17,322
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",0,4,11,256
"TBP21 - Call For Papers","2015-10-10 13:06:37",0,4,7,302
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",1,10,12,291
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",0,4,10,346
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,2,12,333
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",0,6,7,439
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",0,10,10,355
"TBP15 - Ants Marching","2015-08-30 19:31:14",0,3,10,322
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",0,5,7,466
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",0,2,8,380
"TBP12 - Boring Economics","2015-08-08 00:53:49",0,3,14,530
"TBP11 - The End of Money","2015-08-03 04:12:02",0,7,14,469
"TBP10 - Bottoms Up","2015-07-24 13:32:59",0,5,6,387
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",0,7,6,430
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",0,70,7,504
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",0,6,8,412
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",0,16,9,374
"TBP05 - The World's Strongest","2015-06-28 22:55:15",0,5,9,420
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",1,5,13,481
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",0,4,16,464
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",0,15,24,512
"Episode #1 - Introduction","2015-06-01 00:34:44",2,37,44,742
