"item_title","release_date","downloads__january","downloads__december","downloads__november","downloads__total"
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",1679,0,0,1679
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",1017,0,0,1017
"TBP109 - The Human Influence","2017-01-08 03:14:21",1448,0,0,1448
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",781,0,0,781
"TBP108 - Ether Camp","2017-01-04 15:48:27",964,0,0,964
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",936,0,0,936
"BlockChannel Episode 4: Predicting the Future","2017-01-02 21:39:49",927,0,0,927
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",1130,1,0,1131
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",271,1412,0,1683
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",193,810,0,1003
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",141,1413,0,1554
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",134,1614,0,1748
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",50,1347,0,1397
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",115,1155,0,1270
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",87,847,550,1484
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",45,216,849,1110
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",76,419,1631,2126
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",73,167,1591,1831
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",29,108,867,1004
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",25,79,876,980
"TBP97 - Hype or Hope","2016-11-06 00:57:36",67,292,1474,1833
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",30,46,388,982
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",22,38,655,1318
"TBP95 - The JOBS Act","2016-10-27 00:09:26",30,43,227,1288
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",45,58,202,2111
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",23,64,434,3336
"TBP92 - Myceliated","2016-10-09 04:31:18",17,28,84,1548
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",15,32,47,1323
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",60,239,272,1712
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",20,20,58,1147
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",19,36,33,1172
"TBP87 - The World is YOURS","2016-09-18 15:16:48",25,46,45,1574
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",18,28,44,1206
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",16,18,48,1110
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",13,19,29,1269
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",16,23,43,1684
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",22,28,51,1505
"TBP81 - Redefining Trust","2016-08-21 00:51:47",11,29,34,1435
"TBP80 - A Means to an End","2016-08-13 21:30:49",11,10,16,1287
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",18,24,67,2286
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",31,14,21,1633
"TBP77 - Collective Governance","2016-08-01 02:13:02",57,198,229,2178
"TBP76 - Skynet","2016-07-31 13:56:37",57,232,246,2273
"TBP75 - Attention Economy","2016-07-23 14:57:17",11,24,25,1655
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",8,13,17,1163
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",7,15,17,1443
"TBP72 - The Broader Economy","2016-07-11 13:33:58",27,23,24,3226
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",33,36,41,1681
"TBP70 - Whitehat","2016-07-03 16:51:42",9,14,10,1399
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",12,33,33,1124
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",6,21,19,1942
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",7,13,9,1439
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",6,12,11,1233
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",8,10,13,1224
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",6,8,15,1249
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",6,9,13,1137
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",5,6,10,1117
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",5,8,10,864
"TBP60 - Release the Kraken","2016-05-23 03:32:09",6,10,23,2033
"TBP59 - Incredible India","2016-05-16 15:40:00",6,8,18,985
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",6,17,20,1685
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",6,8,9,1971
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",8,20,18,845
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",10,12,13,1088
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",15,9,10,688
"TBP53 - Tough Math","2016-04-17 16:24:01",8,10,12,1202
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",5,9,10,670
"TBP51 - Such Wow","2016-04-10 17:09:46",4,11,10,663
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",5,11,10,833
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",8,9,15,911
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",4,14,10,702
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",5,14,9,607
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",3,12,8,876
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",3,13,16,718
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",6,11,16,653
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",4,20,14,711
"TBP42 - True Micropayments","2016-02-21 23:13:15",5,11,11,842
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",4,13,13,646
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",15,13,11,1292
"TBP39 - Running the Gamut","2016-02-07 20:14:46",4,13,14,900
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",6,13,9,650
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",19,14,16,668
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",3,6,11,570
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",5,7,12,1077
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",8,6,8,818
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",8,7,10,703
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",8,6,9,808
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",5,10,9,516
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",12,6,9,520
"TBP29 - Take the Power Back","2015-12-06 16:35:49",11,6,19,679
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",6,9,13,625
"TBP27 - London Calling","2015-11-22 16:30:21",5,6,13,602
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",6,5,8,546
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",6,3,12,479
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",13,9,17,703
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",8,7,10,435
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",5,7,8,395
"TBP21 - Call For Papers","2015-10-10 13:06:37",14,5,9,446
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",12,6,15,465
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",12,7,10,486
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",7,7,10,460
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",6,5,9,549
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",9,4,27,508
"TBP15 - Ants Marching","2015-08-30 19:31:14",20,5,12,450
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",1,17,12,623
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",1,9,12,475
"TBP12 - Boring Economics","2015-08-08 00:53:49",1,7,19,693
"TBP11 - The End of Money","2015-08-03 04:12:02",1,21,26,653
"TBP10 - Bottoms Up","2015-07-24 13:32:59",1,9,12,509
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",0,9,16,578
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",0,14,12,654
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",8,169,485,2494
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",0,45,481,2255
"TBP05 - The World's Strongest","2015-06-28 22:55:15",0,9,490,2320
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",0,2,486,2443
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",1,2,443,2346
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",1,2,310,2426
"Episode #1 - Introduction","2015-06-01 00:34:44",4,5,207,2801
