"item_title","release_date","downloads__february","downloads__january","downloads__december","downloads__total"
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",1106,0,0,1106
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",994,0,0,994
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",749,0,0,749
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",1236,0,0,1236
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",939,0,0,939
"TBP114 - Life After Trezor","2017-02-12 06:32:10",1869,0,0,1869
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",1187,0,0,1187
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",1568,0,0,1568
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",1232,0,0,1232
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",1022,0,0,1022
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",1139,0,0,1139
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",966,1505,0,2471
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",252,953,0,1205
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",370,917,0,1287
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",431,1358,0,1789
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",220,1842,0,2062
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",113,1089,0,1202
"TBP109 - The Human Influence","2017-01-08 03:14:21",177,1503,0,1680
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",159,837,0,996
"TBP108 - Ether Camp","2017-01-04 15:48:27",139,1039,0,1178
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",116,1006,0,1122
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",97,987,0,1084
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",77,1187,1,1265
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",79,299,1412,1790
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",134,248,810,1192
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",71,168,1413,1652
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",114,172,1614,1900
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",40,69,1347,1456
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",91,163,1155,1409
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",77,124,847,1598
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",23,62,216,1150
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",77,120,419,2247
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",45,83,167,1886
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",16,42,108,1033
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",11,29,79,995
"TBP97 - Hype or Hope","2016-11-06 00:57:36",60,90,292,1916
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",44,42,46,1038
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",12,25,38,1333
"TBP95 - The JOBS Act","2016-10-27 00:09:26",41,45,43,1344
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",11,49,58,2126
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",23,30,64,3366
"TBP92 - Myceliated","2016-10-09 04:31:18",11,20,28,1562
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",6,19,32,1333
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",54,84,239,1790
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",17,24,20,1168
