"item_title","release_date","downloads__march","downloads__february","downloads__january","downloads__total"
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",555,0,0,555
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",794,0,0,794
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",1187,0,0,1187
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",1338,0,0,1338
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",796,990,0,1786
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",423,1236,0,1659
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",196,1020,0,1216
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",123,778,0,901
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",153,1268,0,1421
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",76,961,0,1037
"TBP114 - Life After Trezor","2017-02-12 06:32:10",186,1889,0,2075
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",113,1200,0,1313
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",149,1584,0,1733
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",125,1243,0,1368
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",101,1032,0,1133
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",78,1218,0,1296
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",104,1025,1505,2634
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",70,260,953,1283
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",65,381,917,1363
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",81,441,1358,1880
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",57,227,1842,2126
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",55,122,1089,1266
"TBP109 - The Human Influence","2017-01-08 03:14:21",46,183,1503,1732
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",51,167,837,1055
"TBP108 - Ether Camp","2017-01-04 15:48:27",46,141,1039,1226
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",35,119,1006,1160
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",50,99,987,1136
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",43,80,1187,1311
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",41,80,299,1832
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",57,138,248,1253
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",45,74,168,1700
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",11,117,172,1914
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",6,40,69,1462
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",21,94,163,1433
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",57,78,124,1656
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",38,24,62,1189
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",12,78,120,2260
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",41,45,83,1927
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",8,17,42,1042
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",5,12,29,1001
"TBP97 - Hype or Hope","2016-11-06 00:57:36",10,63,90,1929
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",50,49,42,1093
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",9,12,25,1342
"TBP95 - The JOBS Act","2016-10-27 00:09:26",8,44,45,1355
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",5,11,49,2131
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",8,23,30,3374
"TBP92 - Myceliated","2016-10-09 04:31:18",2,11,20,1564
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",2,9,19,1338
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",5,55,84,1796
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",3,27,24,1181
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",36,7,25,1221
"TBP87 - The World is YOURS","2016-09-18 15:16:48",3,10,28,1590
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",4,15,22,1229
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",2,7,19,1122
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",3,8,16,1283
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",9,7,19,1703
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",28,13,25,1549
"TBP81 - Redefining Trust","2016-08-21 00:51:47",5,7,14,1450
"TBP80 - A Means to an End","2016-08-13 21:30:49",3,5,14,1298
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",8,18,25,2319
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",4,7,36,1649
"TBP77 - Collective Governance","2016-08-01 02:13:02",12,52,80,2265
"TBP76 - Skynet","2016-07-31 13:56:37",5,67,81,2369
"TBP75 - Attention Economy","2016-07-23 14:57:17",4,7,16,1671
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",2,4,12,1173
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",5,6,11,1458
"TBP72 - The Broader Economy","2016-07-11 13:33:58",9,18,38,3264
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",41,4,35,1728
"TBP70 - Whitehat","2016-07-03 16:51:42",9,5,12,1416
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",23,5,14,1154
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",10,5,8,1959
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",8,7,10,1457
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",7,3,10,1247
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",9,5,11,1241
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",5,7,10,1265
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",6,8,9,1154
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",5,8,7,1132
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",5,3,8,875
"TBP60 - Release the Kraken","2016-05-23 03:32:09",40,5,11,2083
"TBP59 - Incredible India","2016-05-16 15:40:00",4,5,8,996
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",3,10,10,1702
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",3,9,8,1985
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",3,8,19,867
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",38,4,13,1133
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",1,4,17,695
"TBP53 - Tough Math","2016-04-17 16:24:01",9,5,11,1219
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",2,4,7,678
"TBP51 - Such Wow","2016-04-10 17:09:46",1,5,6,671
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",1,3,10,842
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",1,3,12,919
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",3,4,7,712
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",2,3,7,614
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",2,4,6,885
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",2,4,6,727
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",2,5,9,663
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",2,5,8,722
"TBP42 - True Micropayments","2016-02-21 23:13:15",3,5,8,853
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",3,5,7,657
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",4,3,18,1302
"TBP39 - Running the Gamut","2016-02-07 20:14:46",3,5,6,910
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",6,9,9,668
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",31,9,22,711
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",1,5,5,578
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",2,5,9,1088
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",2,10,10,832
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",1,32,15,743
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",0,6,15,821
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",1,9,9,530
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",0,9,15,532
"TBP29 - Take the Power Back","2015-12-06 16:35:49",2,28,15,713
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",1,13,9,642
"TBP27 - London Calling","2015-11-22 16:30:21",0,7,9,613
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",0,9,11,560
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,6,13,492
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",1,20,21,732
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",1,8,19,455
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",0,1,5,396
"TBP21 - Call For Papers","2015-10-10 13:06:37",0,0,14,446
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",0,1,14,468
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",1,0,12,487
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,1,7,461
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",0,0,6,549
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",0,0,9,508
"TBP15 - Ants Marching","2015-08-30 19:31:14",0,0,20,450
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",2,0,2,626
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",0,0,1,475
"TBP12 - Boring Economics","2015-08-08 00:53:49",0,4,1,697
"TBP11 - The End of Money","2015-08-03 04:12:02",0,1,2,655
"TBP10 - Bottoms Up","2015-07-24 13:32:59",0,2,1,511
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",1,0,0,579
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",0,1,0,655
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",0,2,8,2496
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",0,4,0,2259
"TBP05 - The World's Strongest","2015-06-28 22:55:15",1,2,2,2325
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",0,1,1,2445
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",1,1,5,2352
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",0,5,3,2433
"Episode #1 - Introduction","2015-06-01 00:34:44",7,11,9,2824
