"item_title","release_date","downloads__may","downloads__april","downloads__march","downloads__total"
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",610,0,0,610
"TBP128 - Family","2017-05-14 02:41:39",2518,0,0,2518
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",3268,0,0,3268
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",1843,0,0,1843
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",5544,0,0,5544
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",1157,1591,0,2748
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",398,1751,0,2149
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",247,1110,0,1357
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",350,1317,0,1667
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",409,1851,0,2260
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",161,1371,0,1532
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",159,1391,0,1550
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",135,1884,0,2019
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",91,1428,0,1519
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",195,2311,0,2506
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",183,1983,0,2166
"TBP120 - The Token Protocol","2017-03-25 20:31:45",146,856,1994,2996
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",118,360,1751,2229
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",82,327,1439,1848
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",97,262,1360,1719
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",141,281,2096,2518
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",60,181,1149,1390
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",64,206,1440,1710
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",86,312,1599,1997
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",48,229,1000,2267
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",68,180,694,2178
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",41,139,364,1564
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",32,130,256,1196
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",49,170,354,1841
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",26,110,184,1281
"TBP114 - Life After Trezor","2017-02-12 06:32:10",43,176,303,2411
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",25,77,195,1497
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",25,130,249,1988
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",71,232,329,1875
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",84,166,309,1591
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",29,51,159,1457
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",44,180,261,3015
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",24,34,125,1396
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",71,203,242,1814
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",34,79,112,2024
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",27,78,86,2260
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",17,21,84,1333
"TBP109 - The Human Influence","2017-01-08 03:14:21",21,73,62,1842
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",27,73,76,1180
"TBP108 - Ether Camp","2017-01-04 15:48:27",20,68,79,1347
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",58,181,192,1556
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",32,39,83,1240
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",36,81,57,1442
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",18,19,56,1884
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",66,222,205,1689
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",52,25,64,1796
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",50,154,173,2280
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",15,18,27,1516
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",54,156,179,1801
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",47,159,205,2010
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",13,59,56,1279
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",75,205,169,2697
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",40,60,86,2072
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",21,24,23,1102
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",12,64,14,1086
"TBP97 - Hype or Hope","2016-11-06 00:57:36",65,189,164,2337
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",20,33,71,1167
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",14,58,18,1423
"TBP95 - The JOBS Act","2016-10-27 00:09:26",16,58,16,1437
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",15,63,26,2230
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",66,61,24,3517
"TBP92 - Myceliated","2016-10-09 04:31:18",15,55,12,1644
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",10,66,12,1424
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",42,142,152,2127
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",13,57,9,1257
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",14,8,42,1249
"TBP87 - The World is YOURS","2016-09-18 15:16:48",12,11,11,1621
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",11,56,13,1305
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",9,8,9,1146
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",9,7,11,1307
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",17,9,17,1737
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",13,60,36,1630
"TBP81 - Redefining Trust","2016-08-21 00:51:47",12,8,10,1475
"TBP80 - A Means to an End","2016-08-13 21:30:49",13,7,13,1328
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",17,12,18,2358
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",20,7,12,1684
"TBP77 - Collective Governance","2016-08-01 02:13:02",46,137,147,2583
"TBP76 - Skynet","2016-07-31 13:56:37",42,196,147,2749
"TBP75 - Attention Economy","2016-07-23 14:57:17",12,16,12,1707
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",14,14,10,1209
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",13,9,14,1489
"TBP72 - The Broader Economy","2016-07-11 13:33:58",34,58,38,3385
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",21,12,77,1797
"TBP70 - Whitehat","2016-07-03 16:51:42",13,8,23,1451
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",13,18,38,1200
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",31,13,24,2017
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",36,8,24,1517
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",14,7,23,1284
