"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",506,0,0,506
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",4499,0,0,4499
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",1022,1564,0,2586
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",399,1251,0,1650
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",507,1803,0,2310
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",299,1541,0,1840
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",274,1574,0,1848
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",185,2705,0,2890
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",238,2659,0,2897
"TBP128 - Family","2017-05-14 02:41:39",114,2870,0,2984
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",80,3508,0,3588
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",66,1993,0,2059
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",247,5994,0,6241
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",66,1313,1591,2970
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",62,502,1751,2315
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",49,320,1110,1479
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",43,437,1317,1797
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",68,505,1851,2424
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",33,213,1371,1617
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",25,213,1391,1629
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",33,184,1884,2101
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",26,137,1428,1591
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",30,279,2311,2620
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",56,239,1983,2278
"TBP120 - The Token Protocol","2017-03-25 20:31:45",63,184,856,3097
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",41,189,360,2341
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",16,119,327,1901
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",37,169,262,1828
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",49,228,281,2654
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",24,83,181,1437
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",34,77,206,1757
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",17,104,312,2032
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",22,63,229,2304
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",44,114,180,2268
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",13,68,139,1604
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",11,46,130,1221
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",28,86,170,1906
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",9,38,110,1302
"TBP114 - Life After Trezor","2017-02-12 06:32:10",48,76,176,2492
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",14,37,77,1523
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",18,36,130,2017
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",33,92,232,1929
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",12,102,166,1621
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",14,55,51,1497
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",20,82,180,3073
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",12,32,34,1416
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",22,91,203,1856
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",27,43,79,2060
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",12,36,78,2281
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",10,23,21,1349
"TBP109 - The Human Influence","2017-01-08 03:14:21",6,28,73,1855
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",13,41,73,1207
"TBP108 - Ether Camp","2017-01-04 15:48:27",13,30,68,1370
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",12,81,181,1591
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",16,49,39,1273
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",8,45,81,1459
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",8,28,19,1902
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",18,102,222,1743
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",26,61,25,1831
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",7,61,154,2298
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",5,19,18,1525
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",25,64,156,1836
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",10,56,159,2029
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",5,22,59,1293
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",7,84,205,2713
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",10,63,60,2105
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",23,27,24,1131
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",9,16,64,1099
"TBP97 - Hype or Hope","2016-11-06 00:57:36",11,76,189,2359
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",18,36,33,1201
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",8,19,58,1436
"TBP95 - The JOBS Act","2016-10-27 00:09:26",5,21,58,1447
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",31,21,63,2267
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",9,98,61,3558
"TBP92 - Myceliated","2016-10-09 04:31:18",10,19,55,1658
