"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",1,0,0,1
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",757,0,0,757
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",2610,0,0,2610
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",2345,0,0,2345
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",3357,0,0,3357
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",5987,0,0,5987
"NABP #3: Adam Meister","2017-07-06 12:49:09",3400,0,0,3400
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",2702,0,0,2702
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",4140,0,0,4140
"NABP #2: Crypto Maak","2017-07-01 02:49:34",2980,0,0,2980
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",913,2846,0,3759
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",535,4374,0,4909
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",252,2664,0,2916
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",327,2849,0,3176
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",335,2217,0,2552
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",279,3747,0,4026
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",373,3843,0,4216
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",272,4124,0,4396
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",162,3226,0,3388
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",183,3907,0,4090
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",168,5302,0,5470
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",103,1272,1564,2939
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",91,605,1251,1947
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",142,790,1803,2735
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",87,540,1541,2168
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",87,486,1574,2147
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",91,378,2705,3174
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",124,549,2659,3332
"TBP128 - Family","2017-05-14 02:41:39",53,267,2870,3190
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",40,214,3508,3762
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",66,174,1993,2233
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",157,840,5994,6991
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",40,183,1313,3127
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",27,143,502,2423
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",32,100,320,1562
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",40,111,437,1905
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",64,152,505,2572
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",23,113,213,1720
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",22,71,213,1697
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",19,69,184,2156
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",17,65,137,1647
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",20,90,279,2700
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",22,115,239,2359
"TBP120 - The Token Protocol","2017-03-25 20:31:45",61,142,184,3237
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",40,170,189,2510
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",21,93,119,1999
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",25,102,169,1918
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",68,146,228,2819
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",14,54,83,1481
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",28,82,77,1833
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",19,58,104,2092
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",16,61,63,2359
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",43,129,114,2396
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",21,39,68,1651
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",14,41,46,1265
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",25,70,86,1973
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",12,40,38,1345
"TBP114 - Life After Trezor","2017-02-12 06:32:10",48,85,76,2577
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",21,54,37,1584
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",11,43,36,2053
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",44,72,92,2012
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",35,45,102,1689
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",21,48,55,1552
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",53,108,82,3214
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",23,49,32,1476
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",34,58,91,1926
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",16,64,43,2113
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",15,46,36,2330
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",11,40,23,1390
"TBP109 - The Human Influence","2017-01-08 03:14:21",14,27,28,1890
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",14,46,41,1254
"TBP108 - Ether Camp","2017-01-04 15:48:27",25,40,30,1422
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",49,58,81,1686
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",23,48,49,1328
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",14,46,45,1511
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",8,39,28,1941
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",38,60,102,1823
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",15,47,61,1867
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",34,40,61,2365
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",22,28,19,1570
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",41,69,64,1921
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",32,38,56,2089
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",14,20,22,1322
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",34,36,84,2776
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",18,67,63,2180
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",11,44,27,1163
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",10,32,16,1132
"TBP97 - Hype or Hope","2016-11-06 00:57:36",42,51,76,2441
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",12,57,36,1252
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",8,32,19,1468
"TBP95 - The JOBS Act","2016-10-27 00:09:26",13,36,21,1491
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",17,78,21,2331
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",13,34,98,3596
"TBP92 - Myceliated","2016-10-09 04:31:18",11,35,19,1694
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",13,26,14,1467
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",37,33,56,2211
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",20,33,25,1322
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",13,31,19,1298
"TBP87 - The World is YOURS","2016-09-18 15:16:48",45,26,18,1698
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",22,22,19,1357
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",18,21,21,1197
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",20,25,18,1361
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",30,54,37,1841
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",27,53,24,1721
"TBP81 - Redefining Trust","2016-08-21 00:51:47",32,31,19,1545
"TBP80 - A Means to an End","2016-08-13 21:30:49",13,31,47,1406
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",32,43,25,2441
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",35,37,27,1763
"TBP77 - Collective Governance","2016-08-01 02:13:02",24,45,61,2667
"TBP76 - Skynet","2016-07-31 13:56:37",9,70,57,2843
"TBP75 - Attention Economy","2016-07-23 14:57:17",3,67,19,1784
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",2,106,22,1325
