"item_title","release_date","downloads__september","downloads__august","downloads__july","downloads__total"
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",2100,0,0,2100
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",3337,0,0,3337
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",2391,0,0,2391
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",4358,0,0,4358
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",3528,0,0,3528
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",4103,0,0,4103
"TBP152 - Pally on the Block","2017-09-10 14:02:18",4687,0,0,4687
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",4771,0,0,4771
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",3942,0,0,3942
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",4260,0,0,4260
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",4302,0,0,4302
"TBP150 - EGO with ETH","2017-09-04 02:16:51",4459,0,0,4459
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",4210,0,0,4210
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",3181,0,0,3181
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",671,3188,0,3859
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",978,3367,0,4345
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",705,3915,0,4620
"NABP #9: JP Richardson","2017-08-22 15:49:09",410,4023,0,4433
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",595,4537,0,5132
"TBP148 - Controversial Persona","2017-08-20 17:08:54",434,4728,0,5162
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",293,3807,0,4100
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",278,3760,0,4038
"TBP147 - History of Security","2017-08-16 21:33:46",333,3934,0,4267
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",257,3516,0,3773
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",319,7282,0,7601
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",287,5849,0,6136
"NABP #8: Vortex","2017-08-07 21:45:42",192,3795,0,3987
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",175,3547,0,3722
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",267,3850,0,4117
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",151,3302,0,3453
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",185,4876,0,5061
"NABP #7: Marcello","2017-08-01 02:15:49",147,4364,0,4511
"TBP142 - The Need For More Information","2017-07-29 19:29:38",124,1610,2640,4374
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",108,873,3023,4004
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",102,980,2496,3578
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",123,597,2734,3454
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",113,540,3946,4599
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",173,711,4308,5192
"NABP #6: John Crothers","2017-07-19 03:43:01",133,431,2538,3102
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",98,327,2742,3167
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",81,331,5261,5673
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",101,451,3266,3818
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",74,361,3618,4053
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",82,293,2902,3277
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",78,402,3911,4391
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",81,355,6835,7271
"NABP #3: Adam Meister","2017-07-06 12:49:09",85,234,3719,4038
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",70,181,2913,3164
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",68,234,4370,4672
"NABP #2: Crypto Maak","2017-07-01 02:49:34",113,284,3271,3668
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",81,188,1137,4252
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",90,191,732,5387
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",57,135,390,3246
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",72,132,459,3512
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",74,126,460,2877
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",79,140,421,4387
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",64,103,529,4539
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",87,146,433,4790
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",52,134,242,3654
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",81,157,260,4405
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",54,110,233,5699
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",42,86,141,3105
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",41,100,130,2127
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",51,88,178,2910
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",48,88,194,2411
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",54,97,125,2336
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",56,89,130,3358
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",51,93,174,3526
"TBP128 - Family","2017-05-14 02:41:39",56,67,106,3366
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",49,75,79,3925
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",85,162,114,2528
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",110,206,386,7536
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",48,132,79,3346
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",53,71,61,2581
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",43,56,68,1697
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",50,70,88,2073
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",86,149,109,2852
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",41,55,53,1846
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",41,57,55,1828
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",30,64,68,2299
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",40,52,40,1762
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",36,50,44,2810
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",41,49,45,2472
"TBP120 - The Token Protocol","2017-03-25 20:31:45",108,173,99,3556
