"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",2087,0,0,2087
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",2626,0,0,2626
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",4016,0,0,4016
"TBP Announcements: DOVU","2017-10-06 21:48:28",3037,0,0,3037
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",3147,0,0,3147
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",2638,0,0,2638
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",3892,0,0,3892
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",3070,0,0,3070
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",3487,0,0,3487
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",3511,0,0,3511
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",933,2837,0,3770
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",586,2435,0,3021
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",663,2840,0,3503
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",410,2911,0,3321
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",396,3217,0,3613
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",357,3297,0,3654
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",329,3909,0,4238
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",247,2733,0,2980
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",256,4695,0,4951
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",231,3733,0,3964
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",210,4256,0,4466
"TBP152 - Pally on the Block","2017-09-10 14:02:18",187,4837,0,5024
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",289,5008,0,5297
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",183,4110,0,4293
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",186,4395,0,4581
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",164,4438,0,4602
"TBP150 - EGO with ETH","2017-09-04 02:16:51",160,4579,0,4739
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",133,4311,0,4444
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",117,3282,0,3399
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",94,765,3188,4047
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",127,1085,3367,4579
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",110,838,3915,4863
"NABP #9: JP Richardson","2017-08-22 15:49:09",95,481,4023,4599
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",108,679,4537,5324
"TBP148 - Controversial Persona","2017-08-20 17:08:54",101,506,4728,5335
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",78,352,3807,4237
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",60,345,3760,4165
"TBP147 - History of Security","2017-08-16 21:33:46",90,407,3934,4431
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",84,312,3516,3912
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",85,383,7282,7750
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",76,344,5849,6269
"NABP #8: Vortex","2017-08-07 21:45:42",67,244,3795,4106
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",70,225,3547,3842
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",81,321,3850,4252
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",63,195,3302,3560
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",62,223,4876,5161
"NABP #7: Marcello","2017-08-01 02:15:49",66,177,4364,4607
"TBP142 - The Need For More Information","2017-07-29 19:29:38",65,160,1610,4475
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",58,147,873,4101
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",56,136,980,3668
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",54,160,597,3545
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",60,155,540,4701
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",68,226,711,5313
"NABP #6: John Crothers","2017-07-19 03:43:01",55,160,431,3184
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",48,115,327,3232
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",47,105,331,5744
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",54,122,451,3893
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",44,95,361,4118
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",43,102,293,3340
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",47,104,402,4464
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",51,99,355,7340
"NABP #3: Adam Meister","2017-07-06 12:49:09",47,102,234,4102
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",44,86,181,3224
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",38,85,234,4727
"NABP #2: Crypto Maak","2017-07-01 02:49:34",56,135,284,3746
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",36,102,188,4309
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",41,106,191,5444
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",44,73,135,3306
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",33,90,132,3563
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",31,94,126,2928
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",34,93,140,4435
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",41,79,103,4595
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",42,105,146,4850
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",34,69,134,3705
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",39,107,157,4470
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",43,70,110,5758
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",29,61,86,3153
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",26,61,100,2173
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",29,66,88,2954
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",31,66,88,2460
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",32,69,97,2383
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",35,75,89,3412
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",34,72,93,3581
"TBP128 - Family","2017-05-14 02:41:39",28,75,67,3413
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",29,67,75,3972
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",40,109,162,2592
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",37,147,206,7610
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",23,62,132,3383
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",25,69,71,2622
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",24,57,56,1735
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",24,66,70,2113
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",45,105,149,2916
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",22,56,55,1883
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",23,55,57,1865
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",27,41,64,2337
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",30,51,52,1803
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",28,48,50,2850
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",27,51,49,2509
"TBP120 - The Token Protocol","2017-03-25 20:31:45",47,126,173,3621
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",37,47,68,2722
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",23,43,49,2142
