"item_title","release_date","downloads__november","downloads__october","downloads__september","downloads__total"
"TBP167 - The Broader Economy III","2017-11-19 13:52:29",506,0,0,506
"TBP Announcements: Quantstamp","2017-11-16 16:00:09",2919,0,0,2919
"TBP Announcements: Globitex","2017-11-15 03:54:35",3238,0,0,3238
"TBP166 - ATMs and ICOs","2017-11-12 23:08:43",4770,0,0,4770
"Devcon3: Recap Part 2","2017-11-05 14:54:24",5309,0,0,5309
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",3764,0,0,3764
"Devcon3: Recap Part 1","2017-11-03 01:13:35",4464,0,0,4464
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",2527,1762,0,4289
"TBP163 - Savings and Savior","2017-10-29 03:38:25",998,2805,0,3803
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",1200,3238,0,4438
"BlockChannel Episode 33: Incentivizing Creators Online, with Props","2017-10-27 02:12:10",602,2749,0,3351
"TBP162 - Sweet Talk","2017-10-26 14:29:23",772,3297,0,4069
"BTCPODcast.mp3","2017-10-25 14:03:59",43,103,0,146
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",479,4024,0,4503
"TBP Announcements: STACK","2017-10-22 01:12:19",375,3093,0,3468
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",511,3402,0,3913
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",323,3324,0,3647
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",305,3548,0,3853
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",324,3627,0,3951
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",290,3395,0,3685
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",309,4629,0,4938
"TBP Announcements: DOVU","2017-10-06 21:48:28",250,3332,0,3582
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",227,3462,0,3689
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",232,2927,0,3159
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",290,4337,0,4627
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",203,3333,0,3536
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",242,3797,0,4039
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",235,3831,0,4066
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",209,1175,2837,4221
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",168,781,2435,3384
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",210,864,2840,3914
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",169,578,2911,3658
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",181,571,3217,3969
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",176,542,3297,4015
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",196,510,3909,4615
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",142,384,2733,3259
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",162,391,4695,5248
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",157,346,3733,4236
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",138,315,4256,4709
"TBP152 - Pally on the Block","2017-09-10 14:02:18",134,289,4837,5260
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",208,477,5008,5693
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",135,286,4110,4531
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",149,304,4395,4848
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",143,262,4438,4843
"TBP150 - EGO with ETH","2017-09-04 02:16:51",130,235,4579,4944
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",113,208,4311,4632
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",104,204,3282,3590
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",115,168,765,4236
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",106,214,1085,4772
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",107,202,838,5062
"NABP #9: JP Richardson","2017-08-22 15:49:09",104,152,481,4760
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",175,182,679,5573
"TBP148 - Controversial Persona","2017-08-20 17:08:54",102,166,506,5502
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",103,132,352,4394
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",102,110,345,4317
"TBP147 - History of Security","2017-08-16 21:33:46",122,155,407,4618
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",103,130,312,4061
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",107,149,383,7921
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",108,141,344,6442
"NABP #8: Vortex","2017-08-07 21:45:42",87,119,244,4245
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",90,117,225,3979
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",87,141,321,4399
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",87,113,195,3697
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",88,114,223,5301
"NABP #7: Marcello","2017-08-01 02:15:49",85,106,177,4732
"TBP142 - The Need For More Information","2017-07-29 19:29:38",77,110,160,4597
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",75,106,147,4224
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",70,95,136,3777
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",85,93,160,3669
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",67,113,155,4821
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",114,158,226,5517
"NABP #6: John Crothers","2017-07-19 03:43:01",64,93,160,3286
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",58,91,115,3333
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",71,81,105,5849
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",65,100,122,4004
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",57,82,95,4213
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",57,83,102,3437
