"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"An Ethereum Podcast: Episode #8","2017-12-10 14:23:50",2235,0,0,2235
"TBP171 - The Future of Giving","2017-12-09 19:40:43",2290,0,0,2290
"Buy or Sell, What the Hell #5","2017-12-09 16:21:38",3343,0,0,3343
"TBP Announcements: CoinFi","2017-12-08 15:50:50",3355,0,0,3355
"An Ethereum Podcast: Episode #7","2017-12-05 16:37:02",5826,0,0,5826
"TBP170 - A New Kind of Legal","2017-12-03 14:58:36",5492,0,0,5492
"An Ethereum Podcast: Episode #6","2017-11-30 14:08:10",3762,2036,0,5798
"TBP Announcements: Crowd Machine","2017-11-30 13:23:53",1729,1609,0,3338
"TBP169 - Monetary Revolution","2017-11-27 02:56:13",1603,3724,0,5327
"TBP Announcements: Coinfirm","2017-11-27 02:51:51",599,3601,0,4200
"TBP168 - Passion, Pain & Unicorn Slayin'","2017-11-26 05:35:45",752,4798,0,5550
"BlockChannel Episode 34: Developers Developers Developers, with Zastrin.com","2017-11-23 19:10:49",438,3884,0,4322
"TBP Announcements: Simple Token","2017-11-19 22:12:40",309,3912,0,4221
"TBP167 - The Broader Economy III","2017-11-19 13:52:29",568,5977,0,6545
"TBP Announcements: Quantstamp","2017-11-16 16:00:09",272,3792,0,4064
"TBP Announcements: Globitex","2017-11-15 03:54:35",252,3854,0,4106
"TBP166 - ATMs and ICOs","2017-11-12 23:08:43",315,5468,0,5783
"Devcon3: Recap Part 2","2017-11-05 14:54:24",177,5612,0,5789
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",237,4140,0,4377
"Devcon3: Recap Part 1","2017-11-03 01:13:35",193,4791,0,4984
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",162,2775,1762,4699
"TBP163 - Savings and Savior","2017-10-29 03:38:25",146,1224,2805,4175
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",202,1510,3238,4950
"BlockChannel Episode 33: Incentivizing Creators Online, with Props","2017-10-27 02:12:10",139,800,2749,3688
"TBP162 - Sweet Talk","2017-10-26 14:29:23",151,1016,3297,4464
"BTCPODcast.mp3","2017-10-25 14:03:59",1,45,103,149
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",121,683,4024,4828
"TBP Announcements: STACK","2017-10-22 01:12:19",101,570,3093,3764
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",127,738,3402,4267
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",86,486,3324,3896
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",84,465,3548,4097
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",92,488,3627,4207
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",88,458,3395,3941
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",86,481,4629,5196
"TBP Announcements: DOVU","2017-10-06 21:48:28",73,361,3332,3766
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",82,347,3462,3891
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",80,336,2927,3343
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",99,434,4337,4870
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",67,306,3333,3706
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",86,349,3797,4232
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",81,347,3831,4259
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",72,317,1175,4401
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",66,268,781,3550
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",89,331,864,4124
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",61,260,578,3810
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",64,279,571,4131
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",74,288,542,4201
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",98,298,510,4815
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",56,230,384,3403
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",69,251,391,5406
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",63,247,346,4389
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",55,223,315,4849
"TBP152 - Pally on the Block","2017-09-10 14:02:18",61,217,289,5404
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",146,353,477,5984
