"region","total_downloads"
", United States",1826
"Armed Forces Europe, Middle East, & Canada, United States",3
"Alaska, United States",10
"Alabama, United States",73
"Armed Forces Pacific, United States",1
"Arkansas, United States",38
"Arizona, United States",440
"California, United States",4973
"Colorado, United States",609
"Connecticut, United States",205
"District of Columbia, United States",268
"Delaware, United States",85
"Florida, United States",1259
"Georgia, United States",592
"Hawaii, United States",61
"Iowa, United States",197
"Idaho, United States",37
"Illinois, United States",827
"Indiana, United States",135
"Kansas, United States",98
"Kentucky, United States",206
"Louisiana, United States",149
"Massachusetts, United States",407
"Maryland, United States",413
"Maine, United States",10
"Michigan, United States",312
"Minnesota, United States",291
"Missouri, United States",266
"Mississippi, United States",25
"Montana, United States",130
"North Carolina, United States",301
"North Dakota, United States",26
"Nebraska, United States",47
"New Hampshire, United States",105
"New Jersey, United States",777
"New Mexico, United States",56
"Nevada, United States",336
"New York, United States",1287
"Ohio, United States",295
"Oklahoma, United States",80
"Oregon, United States",419
"Pennsylvania, United States",551
"Rhode Island, United States",30
"South Carolina, United States",103
"South Dakota, United States",9
"Tennessee, United States",147
"Texas, United States",3757
"Utah, United States",82
"Virginia, United States",696
"Vermont, United States",24
"Washington, United States",771
"Wisconsin, United States",286
"West Virginia, United States",47
"Wyoming, United States",6
