"user_agent","total_downloads"
"Acast",1
"AHC",2
"AndroidDownloadManager",66
"AntennaPod",61
"Apache-HttpClient",20
"APKXDL",6
"Apple Mac OS X v",10
"AppleCoreMedia",3771
"Castro",28
"Chrome",6239
"curl",21
"Dalvik",324
"Downcast",38
"EdgeAccel",8
"ExoPlayerDemo",7
"facebookexternalhit",15
"FDM",2
"Filter",2
"Firefox",1275
"Go-http-client",1
"Googlebot-Video",114
"gPodder",24
"GStreamer souphttpsrc libsoup",9
"gvfs",25
"HTC Streaming Player htc",9
"HTC Streaming Player verizon",2
"iCatcher",35
"Instacast",29
"iTunes",1088
"iTunes-iPod",1
"itunesstored",69
"ivooxNew",1
"jack",1
"Java",4
"Kodi",2
"Lavf",2
"LG-D",4
"LG-H",2
"LivelapBot",6
"Mozilla",3393
"MSIE",79
"msnbot",1
"MT",1
"NSPlayer",145
"okhttp",699
"Overcast",2736
"Player",84
"Player FM",68
"Pocket Casts",1276
"Podbean",52
"Podcast Addict - Dalvik",975
"PodcastAddict",422
"Podcatcher Deluxe",7
"PodCruncher",3
"Podkicker",9
"Podkicker Pro",18
"python-requests",1
"RSSRadio",42
"RSSRadio7",6
"Ruby",10
"Safari",1156
"Samsung GT-I",41
"Samsung SAMSUNG-SGH-I",12
"Samsung SAMSUNG-SM-G",9
"Samsung SAMSUNG-SM-N",36
"Samsung SCH-I",2
"Samsung SGH-I",1
"Samsung SM-E",1
"Samsung SM-G",195
"Samsung SM-N",147
"Samsung SM-P",2
"Samsung SM-T",14
"Samsung SPH-L",18
"Shifty Jelly Pocket Casts iOS v",24
"SonyC",3
"SonyD",9
"SonyE",2
"stagefright",276
"Stitcher",74
"Stitcher/Android",345
"Stitcher/iOS",220
"stitcherbot",60
"TCL ALCATEL ONETOUCH-",1
"TelegramBot",1
"Twitter",2
"Twitterbot",40
"Unknown",21
"Wget",31
"WordPress",6
