"user_agent","total_downloads"
"Acast",1
"AHC",2
"AntennaPod",57
"Apache-HttpClient",20
"APKXDL",6
"Apple Mac OS X v",10
"AppleCoreMedia",3566
"Castro",24
"Chrome",5841
"curl",21
"Dalvik",317
"Downcast",30
"EdgeAccel",8
"ExoPlayerDemo",6
"facebookexternalhit",15
"FDM",2
"Filter",1
"Firefox",1189
"Go-http-client",1
"Googlebot-Video",108
"gPodder",21
"GStreamer souphttpsrc libsoup",9
"gvfs",18
"HTC Streaming Player htc",9
"HTC Streaming Player verizon",2
"iCatcher",35
"Instacast",26
"iTunes",1004
"iTunes-iPod",1
"itunesstored",65
"ivooxNew",1
"jack",1
"Java",3
"Kodi",2
"Lavf",2
"LG-D",4
"LG-H",2
"LivelapBot",4
"Mozilla",3246
"MSIE",78
"msnbot",1
"MT",1
"NSPlayer",140
"okhttp",486
"Overcast",2537
"Player",83
"Player FM",58
"Pocket Casts",1179
"Podbean",41
"Podcast Addict - Dalvik",966
"PodcastAddict",299
"Podcatcher Deluxe",7
"PodCruncher",3
"Podkicker",9
"Podkicker Pro",18
"python-requests",1
"RSSRadio",38
"RSSRadio7",6
"Ruby",10
"Safari",1080
"Samsung GT-I",37
"Samsung SAMSUNG-SGH-I",10
"Samsung SAMSUNG-SM-G",8
"Samsung SAMSUNG-SM-N",36
"Samsung SCH-I",2
"Samsung SGH-I",1
"Samsung SM-E",1
"Samsung SM-G",192
"Samsung SM-N",141
"Samsung SM-P",2
"Samsung SM-T",14
"Shifty Jelly Pocket Casts iOS v",24
"SonyC",3
"SonyD",9
"SonyE",1
"stagefright",259
"Stitcher",38
"Stitcher/Android",345
"Stitcher/iOS",220
"stitcherbot",58
"TCL ALCATEL ONETOUCH-",1
"TelegramBot",1
"Twitterbot",36
"Unknown",21
"Wget",29
"WordPress",6
