Date,Content,Video title,Video publish time,Views
2015-06-11,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-12,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-13,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-14,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-15,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-16,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-17,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-18,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-19,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-20,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-21,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-22,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-23,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-24,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-25,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-26,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-27,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-28,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-29,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-06-30,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-01,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-02,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-03,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-04,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-05,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-06,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-07,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-08,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-09,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-10,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-11,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-12,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-13,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-14,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-15,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-16,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-17,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-18,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-19,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-20,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-21,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-22,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-23,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-24,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-25,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-26,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-27,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-28,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-29,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-30,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-07-31,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-01,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-02,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-03,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-04,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-05,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-06,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-07,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-08,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-09,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-10,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-11,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
2015-08-12,C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",0
