Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,8714,1343.2245,321,136917,2.24
a-PnkQlw44E,The Bitcoin Podcast #236: Ronnie Moas,"Dec 16, 2018",864,84.1114,10,3968,3.6
F1Syoq5KanI,The Bitcoin Podcast #391 Interview- Reggie Middleton of DeFi,"May 23, 2022",489,135.4302,10,4213,4.53
C3f9yra2KZY,Social Implications of Blockchain Infrastructure - Dr. Corey Petty,"Mar 15, 2018",430,49.9938,5,2406,3.16
uIVqndyK5c8,TBP Announcements: Digitex Futures,"Feb 6, 2019",359,48.7412,13,2926,3.52
hXNyrn1jIrQ,The Bitcoin Podcast Interview #345- -Alberto Cevallos of ForceDao,"Mar 29, 2021",354,51.5996,8,1678,3.52
2fUH3MaKRto,The Bitcoin Podcast Interview #379- Tascha of Tascha Labs,"Dec 27, 2021",257,49.0766,11,5374,2.18
5yHqPmhv5Q4,The Bitcoin Podcast Interview #343-  Vinay Gupta CEO Of Mattereum,"Mar 20, 2021",253,45.2128,5,1919,3.6
AUL1smJKHmM,TBP Announcements: Coin Cloud,"Jan 28, 2019",202,5.0141,7,1017,3.15
v7bnZpXtisA,The Bitcoin Podcast Interview #351- Jonny Huxtable of ChainLink/LinkPool,"May 10, 2021",196,36.767,3,1870,3.42
WN3q5vKcJPw,The Bitcoin Podcast Interview #359- Cory Doctorow,"Jul 5, 2021",188,71.709,6,1310,4.96
ETAej4OEhyE,"Petty Poppin' Tags: An Unboxing of a Pinephone with Dr. Petty, Dee, and Jessie","Oct 5, 2020",183,11.2517,5,1977,3.49
b_Y-GFzWB1s,Dr. Corey Petty Unboxing Video EP 1- Grid+ Lattice 1 Hardware Wallet,"Jul 23, 2021",164,14.2749,1,7257,0.98
azIbtYQXPvk,Join Our Slack- Get A Job,"Mar 31, 2021",162,0.9391,0,646,1.08
jr1nXPOsDMc,The Bitcoin Podcast Interview #387-  Cory Doctorow,"Mar 14, 2022",156,62.5742,0,1549,5.62
dUulcX2_MBg,The Bitcoin Podcast Interview #344-  Edan Yago of Sovryn.app,"Mar 29, 2021",146,27.852,3,1640,3.29
NxM5Ru3bMwI,The Bitcoin Podcast Inteview #372-Julien Genestoux of Unlock Protocol,"Oct 19, 2021",125,16.8227,1,2483,3.26
Wf6ToqAF5uo,The Bitcoin Podcast 200,"May 8, 2018",124,5.8285,1,4800,0.83
pKBx-LT68V0,The Bitcoin Podcast: Full Scott Rose Interview,"Aug 16, 2015",120,16.8995,1,569,0.53
0an96Dt6AqI,The Bitcoin Podcast #243: Taylor Monahan & Ray Redacted,"Feb 3, 2019",92,3.9933,0,847,4.01
Pzbn2Cpg_CU,The Bitcoin Podcast  Roundtable #343--Vinay Gupta of Mattereum,"Mar 13, 2021",83,11.9213,0,923,4.23
YMPbA_SewOU,The Bitcoin Podcast  Roundtable #342- Origin Story,"Mar 6, 2021",81,23.8863,5,701,4.28
 -R4-mVvt2xo,The Bitcoin Podcast Interview #394- Anthony D' Onofrio aka Texture,"Jun 20, 2022",75,16.4153,1,1520,1.64
Vv6UkTAs2EY,"The Bitcoin Podcast-#399- Sir, You Cannot Do That Here","Aug 11, 2022",74,10.3219,1,3592,1.06
QsjjbVV1rD4,The Bitcoin Podcast Interview #361- Erik Voorhees  Founder of ShapeShift,"Jul 22, 2021",67,15.1464,2,1034,2.32
wdTav4n3NT8,The Bitcoin Podcast #376 Interview - Alex Smirnov of debridge.finance,"Dec 9, 2021",64,7.4213,0,547,3.29
DyJ38B7ANYQ,The Bitcoin Podcast Interview #384- Lixin Liu of Keystone Hardware Wallet,"Feb 14, 2022",60,8.1282,1,719,5.01
upnKwbE5QC4,TBP76 - Skynet,"Jul 31, 2016",60,3.8674,0,881,1.7
0Hi1fuzTSp4,The Bitcoin Podcast Interview #350 - Paul Hauner Sigma Prime: ETH-2,"May 4, 2021",52,4.2463,2,310,6.45
gOLLAJmd5Vo,TBPN Halvening Hangout,"May 11, 2020",52,13.3567,1,489,3.07
 -CoGCma_HCE,The Bitcoin Podcast Interview EP 349- Ali Spagnola Internet Artist Pt II,"Apr 25, 2021",51,4.6854,1,859,3.14
az6iuAy16Fs,Law & Blockchain #7: David Silver,"Nov 30, 2018",51,8.9226,2,553,5.61
5f1Io1-Wfcw,The Bitcoin Podcast Interview #357- CEO Josh Katz of YellowHeart,"Jun 21, 2021",50,6.3734,0,1172,1.45
UXqYAR6hsAY,The Bitcoin Podcast Roundtable #373- New York is just like Kansas intensified,"Nov 4, 2021",50,5.8311,0,395,2.53
1Punl_MiLnM,The Bitcoin Podcast #232: Matthew Aaron,"Nov 18, 2018",47,2.4029,0,455,3.52
afWnTcBKcJw,The Bitcoin Podcast #375- Evan Van Ness Starbloom Ventures,"Nov 30, 2021",47,7.3846,2,305,2.95
T6uS8W22lXQ,Hashing It Out #35: Constantinople Postponement - Trail of Bits & ChainSecurity,"Jan 19, 2019",43,7.0695,0,679,2.5
8H12JIOY6KU,The Bitcoin Podcast #398- The Math ain't Mathing,"Aug 5, 2022",42,5.6018,0,1350,2.3
Ed2_Jts6QCs,The Bitcoin Podcast Interview #348  Viberate   Founder Vasja Veber and Uroš Umek 3,"Apr 25, 2021",42,2.2883,0,699,2.15
